Story Heading,Story Excerpt,Timestamp,Section
Pakistan,"Data shows preventive measures working, says Asad Umar",SAPM Zafar Mirza reminds private companies that non-essential work is not allowed during the lockdown period.,"01 Apr, 2020 08:48pm"
Pakistan,"Genetic make up of locally-transmitted coronavirus may have mutations, say experts",A team of researchers in Pakistan is studying the genome sequence of the novel coronavirus.,"01 Apr, 2020 09:29pm"
World,AFP Fact Check: Myth circulates online that 'new' hantavirus disease has emerged in China,Scientists say hantavirus was first detected in the 1950s and almost exclusively passes from rodents to humans.,"02 Apr, 2020 11:45am"
Pakistan,"Yuvraj Singh, Harbhajan Singh spark outrage for donating to Shahid Afridi's charity",The two cricketers were trying to do their part in the global fight against Covid-19.,"01 Apr, 2020 06:15pm"
World,K-pop star's announcement about contracting Covid-19 was an April Fools' prank,Kim Jaejoong of JYJ says he pulled the prank to raise awareness about coronavirus,"01 Apr, 2020 05:39pm"
World,Why Germany's death toll is much lower than the rest of Europe,"Italy has 16 times as many deaths as Germany, France four times as many.","01 Apr, 2020 05:38pm"
World,Preliminary study finds UK lockdown is slowing spread of Covid-19,"Expert warned, however, that the findings were very preliminary and should not be seen as suggesting “job done”.","01 Apr, 2020 05:01pm"
Pakistan,Covid-19 relief fund: PM urges people to donate so govt can take care of those in need,"""The fund will be used to take care of all those who have been made destitute by the lockdown,"" says the premier.","01 Apr, 2020 04:20pm"
Pakistan,Faysal Qureshi schools people documenting donation drives like publicity stunts,"""There are people receiving help out of helplessness. Don't turn their majboori into a publicity stunt,"" he shared.","01 Apr, 2020 03:47pm"
World,"'Learn from China': Wuhan residents tell the world to stay strong, stay indoors",Wuhan was once the epicentre of the global pandemic and was subjected to the strictest curbs on movement and business.,"01 Apr, 2020 03:16pm"
Pakistan,"Govt to provide protective kits to journalists visiting quarantine centres, ICUs",SAPM Awan says govt will launch 'Care for Media' mobile app to provide information to journalists diagnosed with virus.,"01 Apr, 2020 09:02pm"
World,Italy's coronavirus lockdown measures to be extended to April 13,Italy was the first Western country to introduce the restrictions and has tightened them week by week.,"01 Apr, 2020 03:06pm"
Pakistan,Shamoon Ismail apologises for racist remarks regarding coronavirus,But then he was called out for the apology not sounding genuine so he took it back. Wonder what's his backup plan now...,"01 Apr, 2020 02:20pm"
World,Star Wars actor Andrew Jack passes away due to coronavirus,"Jack, known in Hollywood for his work as a dialect coach, played General Ematt in The Last Jedi.","01 Apr, 2020 01:27pm"
World,"In the midst of all this, Lindsay Lohan might be making her musical comeback","Maybe it's an April Fool's day prank. It has to be, right?","01 Apr, 2020 01:08pm"
Pakistan,Is Pakistani TV going to soon run out of new content due to the corona pandemic?,"Due to the lockdown, shoots for many shows could not start at all while others were left midway.","01 Apr, 2020 11:42am"
World,"Coronavirus transforms New York as US deaths top 4,000","New York state has seen far more cases — 76,000 — and deaths than any other.","01 Apr, 2020 10:51am"
World,Trump is a constant reminder that truth is stranger than fiction,"Maybe T.S Elliot wasn't so wrong when he said ""April is the cruellest month"".","02 Apr, 2020 10:22am"
Pakistan,"In jails, Covid-19 will not discriminate between inmates and their keepers","This lesson needs to be learnt, and fast.","01 Apr, 2020 09:21am"
World,The coronavirus has devastated the world’s mightiest economic and military powers,The world as we know it has effectively changed.,"01 Apr, 2020 09:41am"
Newspaper,Pressure builds on UK to repatriate citizens from Pakistan,Special flight from Islamabad takes stranded Germans home.,"01 Apr, 2020 08:01am"
Newspaper,"Demand for electricity, gas, oil drops dramatically",Electricity consumption has plummeted by at least 30 pc.,"01 Apr, 2020 07:49am"
Pakistan,PM’s aide wants Covid-19 patients not to be treated like criminals,Government to devise a strategy to keep shops and industries open to support economy.,"01 Apr, 2020 07:40am"
Newspaper,Rangers told to ensure movement of goods transport,"Federal cabinet also approves Rs1,200 billion coronavirus relief package.","01 Apr, 2020 07:32am"
Newspaper,Taliban team arrives in Kabul to monitor prisoner release,"Progress is being made, says US State Secretary Mike Pompeo.","01 Apr, 2020 09:03am"
Newspaper,Could homemade masks help stop infected people spreading virus?,Health organisations have stressed there is little evidence to show that masks are effective against Covid-19.,"01 Apr, 2020 09:02am"
Newspaper,"China lockdown may have blocked 700,000 cases","Drastic measures during the first 50 days bought other cities in China valuable time to prepare, say researchers.","01 Apr, 2020 09:09am"
Newspaper,Saudi Arabia advises Muslims to defer Haj plans,"""The kingdom is keen to protect the health of Muslims and citizens,"" says Haj minister.","01 Apr, 2020 08:45am"
Pakistan,Number of worshippers in KP mosques restricted to five or less,Leaders of all Islamic schools of thought agree with step.,"01 Apr, 2020 09:17am"
Pakistan,Hospitals in KP close down OPDs today to focus  on Covid-19 patients,CM’s adviser says 10 patients sent home after recovery.,"01 Apr, 2020 09:18am"
Pakistan,HEC to inspect content of online lectures by varsities,"If restrictions are extended beyond May 31, all varsities will have to resort to online education, says HEC chairman.","01 Apr, 2020 09:38am"
Pakistan,"Capital admin collecting details of 33,000 families living below poverty line to provide edibles","So far, only 1,000 families have been provided free food during the last couple of days, say officials.","01 Apr, 2020 09:37am"
Pakistan,Opposition rejects PM’s ‘Tiger Force’,PML-N President Shehbaz Sharif has demanded the convening of the National Security Committee.,"01 Apr, 2020 09:27am"
Pakistan,Railways operations suspended for indefinite period,Officials fear the disease could spread if Pakistan Railways continues carrying out routine work at its departments.,"01 Apr, 2020 09:25am"
Pakistan,"Six-month-old, 4 doctors test positive in Gujrat","The infant is being kept at home, while her mother will also be screened for the virus.","01 Apr, 2020 09:20am"
Pakistan,Complete lockdown in Raiwind city,Move comes after reports that more people from the Tableeghi Markaz may test positive for the virus.,"01 Apr, 2020 09:13am"
Pakistan,Trend of Azan at 10pm from rooftops gathers steam during lockdown,‘It is all of us begging for forgiveness and crying to God to spare humanity from this disease’.,"01 Apr, 2020 09:19am"
Pakistan,"After Covid-19, Karachi facing another healthcare crisis due to OPDs’ closure",A large number of patients suffering from other diseases are waiting for their regular treatment.,"01 Apr, 2020 09:20am"
Newspaper,FIFA working on ‘Football Marshall plan’ for virus impact,Association aware that there are  “serious financial problems on account of the coronavirus outbreak.”,"01 Apr, 2020 09:05am"
Newspaper,Wasim Khan speaks to Hafeez over controversial statements,Hafeez recently voiced his concerns on the return of tainted players to Pakistan’s national team.,"01 Apr, 2020 09:03am"
Newspaper,Misbah urges need for players to maintain fitness during lockdown,"“We must not lose hope in the fight against coronavirus.""","01 Apr, 2020 09:01am"
Newspaper,Businessman paid $8.2m by Tokyo Games bid lobbied figure at centre of French probe,The payments made Takahashi the single largest recipient of money from the Tokyo bid committee.,"01 Apr, 2020 09:00am"
