Story Heading,Story Excerpt,Timestamp,Section
Newspaper,Google to waive ad fees as part of journalism relief effort,The move comes in addition to Google’s  “journalism relief fund” announced this week.,"18 Apr, 2020 10:41am"
Pakistan,Performance artists open up about struggling in lockdown,"Theatres, art galleries and all such activities have been shut down which means artists and workers have no way to earn.","13 Apr, 2020 12:32pm"
Business,Ogra proposes up to Rs44 cut in fuel prices,The authority has recommended slashing the price of high-speed diesel by Rs33.94 and of petrol by Rs20.68.,"29 Apr, 2020 08:56pm"
Pakistan,Bajwa calls for national unity to fight Covid-19,Lt Gen Hamood made convener of National Command and Operation Centre.,"02 Apr, 2020 07:36am"
Newspaper,US braces for ‘the saddest week’ as death toll rises,"There will be a lot of death, says US President Donald Trump.","06 Apr, 2020 08:44am"
Newspaper,"FAO, WHO & WTO warn of worldwide food shortage",Many governments around the world have put their populations on lockdown to slow the spread of the virus.,"02 Apr, 2020 09:23am"
World,To do or not to do — the question baffling most world leaders,Khan represents a class of world leaders who are trying to strike a balance between death by disease or hunger.,"20 Apr, 2020 09:55am"
Pakistan,"Senator Mirza Mohammad Afridi tests positive for Covid-19, goes into isolation",Afridi says he experienced high temperature and body pain.,"28 Apr, 2020 01:23pm"
Newspaper,Petroleum imports fall 33pc in March,Preliminary estimates suggest petroleum consumption has fallen 60pc since the lockdown was enforced in the country.,"19 Apr, 2020 08:06am"
Newspaper,NBP taking Covid-19 measures at all branches,Bank informs customers of safety measures through press release.,"04 Apr, 2020 09:12am"
Pakistan,Difficult decisions needed to protect lives of people: CM,Mahmood Khan tells delegation govt does not want to keep businesses closed but lockdown needed to save lives.,"29 Apr, 2020 10:44am"
Pakistan,These volunteer-run online radios are bringing Urdu to German airwaves,Online Urdu radio channels in Germany help connect Pakistani immigrants to their roots,"24 Apr, 2020 11:26am"
Pakistan,Foreigners in Pakistan get two-month visa extension,The expired visas will now be treated as valid till June 30.,"30 Apr, 2020 10:31am"
Newspaper,Missed children,Domestic funding for immunisation programmes is critical.,"17 Jul, 2020 04:48pm"
Newspaper,‘IPL will only commence when it is safe and appropriate’,Team officials says board would “find a window in the later end of the year to do it”.,"17 Apr, 2020 09:38am"
Pakistan,KP govt makes face masks mandatory in public,"Shops, businesses exempted from lockdown to function until 4pm during Ramazan.","25 Apr, 2020 10:56am"
Newspaper,"Nearly 600 US, British citizens fly back home",All the passengers were subjected to health screening and temperature check before they boarded the aircraft.,"23 Apr, 2020 07:47am"
Pakistan,New rules being framed as Covid-19 has changed our lifestyle: Murad,Asks people to cooperate with the govt and follow the SOPs during post-lockdown period.,"07 Apr, 2020 09:03am"
Pakistan,Some sections of media not working on basis of facts: PM,Imran says only journalists who did factual reporting have survived in time.,"25 Apr, 2020 08:16am"
Pakistan,"Detection of case in Hyderabad locality sows fear, panic",Hyderabad district has had the highest number of cases after Karachi.,"24 Apr, 2020 09:56am"
Newspaper,Bankers whisper ‘foul’ as rupee rolls uphill against dollar,Rises by Rs3.3 one day after cut in interest rates.,"18 Apr, 2020 09:33am"
World,Taylor Swift just canceled all her shows for 2020 1,"Covid-19, look what you made her do!","19 Apr, 2020 11:44am"
World,This pandemic has forced Johnny Depp to finally join Instagram,"""We need to help each other through these dark times, for those we love, our community and our future,"" the actor posted","18 Apr, 2020 03:16am"
Pakistan,IHC asks ZTBL management to reconsider demotion of employees,"According to petitioners, around 150 vice presidents have been demoted to post of assistant vice presidents.","29 Apr, 2020 09:47am"
Pakistan,NAB calls Shahbaz’s reply ‘unsatisfactory’,Summons him for third time; refuses request of the opposition leader to quiz him through video link.,"23 Apr, 2020 10:27am"
Newspaper,Why online education?,"The entire human race is in a state of war against an invisible, implacable, and lethal enemy.","13 Apr, 2020 08:29am"
Pakistan,DC Islamabad responds to Sanam Saeed's quarantine concerns,"""For 2000 passengers, Rs 5000 each was spent on transport, food and rent of hotel. It amounts to Rs 1 crore per day.""","17 Apr, 2020 11:45pm"
Pakistan,"Shehbaz Sharif blasts PM Imran over delay in sugar commission's report, terms it 'proof of premier's guilt'","Awan says Shehbaz's statement an attempt to ""save his own political presence"".","26 Apr, 2020 05:08pm"
Business,US oil rebounds above $14 after massive sell-off,The Oil Fund sold its contracts due to expire in June to move into longer-dated holdings amid fears of storage space.,"29 Apr, 2020 10:15am"
Pakistan,Ulema's responsibility to ensure SOPs for prayer congregations are followed: PM Imran,"""I know my nation. I knew people had to come out [to pray] during Ramazan,"" says Imran Khan.","24 Apr, 2020 07:55am"
Pakistan,"AJK woman killed, girl injured in Indian firing",Indian army posts in many areas along the LoC are just a stone’s throw from the civilian population living in AJK.,"28 Apr, 2020 08:25am"
World,Is TB vaccine the reason behind Covid-19's less deadly effect in Pakistan? Experts are finding out,Preliminary studies show countries with universal BCG vaccine programmes have much lower mortality rates from Covid-19.,"09 Apr, 2020 10:15am"
Pakistan,Overcrowding in jails declared unconstitutional by IHC,"IHC issues 38-page verdict in prisoners’ case, allowing inmates to sue govt, jail authorities for inhumane treatment.","06 Apr, 2020 07:42am"
Newspaper,$200m WB loan sought for ‘national equitable education project’,The project will strengthen federal and provincial govts reduce the impact of external shocks on the education system.,"30 Apr, 2020 10:57am"
Newspaper,Pakistan welcomes G-20 decision to suspend debt servicing for 76 countries,Qureshi calls it Islamabad’s diplomatic achievement.,"17 Apr, 2020 08:23am"
,Nausheen Amjad replaces Shabbar Zaidi as FBR chairperson,Amjad was already serving as acting chairperson of FBR since Jan after Zaidi went on indefinite leave due to his health.,"06 Apr, 2020 08:22pm"
Newspaper,"Tokyo organisers, IOC at odds over who pays for postponement","Neither side has given an official estimate, but Tokyo CEO Toshiro Muto has called the postponement costs massive.","22 Apr, 2020 10:41am"
Business,Countries around the world are in damage control mode — Pakistan is no different,"If there was ever a time to go deep in debt and beg, borrow and steal to finance relief measures, it is now.","28 Apr, 2020 04:09pm"
Pakistan,Murad hints at easing province-wide lockdown after 14th,Sindh CM urges people to strictly follow restrictions during remaining few days; asks centre to issue SOPs.,"09 Apr, 2020 09:13am"
Pakistan,"If a pandemic hitting the world won’t make you kind, what will? asks Mahira Khan","The stars may be sitting at home but so is the rest of the world, including trolls who now have a lot more free time.","28 Apr, 2020 11:57am"
Newspaper,Profit rates on savings schemes slashed,"Rate of return on Behbood Savings Certificates, Pensioners’ Benefit Account has been slashed by 1.96 percentage points.","25 Apr, 2020 08:15am"
