Story Heading,Story Excerpt,Timestamp,Section
World,Iran says it has detained US-based opposition leader over 2008 bomb attack,"Intelligence ministry statement cited by state television does not say how, where or when the detention took place.","01 Aug, 2020 10:50pm"
World,Facebook puts global block on Brazil's Bolsonaro supporters after hefty fine by country's top court,Company says Brazil SC's ruling is “extreme” but Facebook will comply with the order.,"01 Aug, 2020 10:11pm"
World,ByteDance offers to sell TikTok's US ops as Trump ban looms: New York Times report,"The proposed divestment would not necessarily affect TikTok's operations outside the US, says NYT report.","01 Aug, 2020 09:44pm"
World,UAE starts up Arab world's first nuclear plant,"Its four reactors have the capacity to generate 5,600 megawatts of electricity, around 25 per cent of the nation's needs.","01 Aug, 2020 09:45pm"
World,"Kuwait aviation bans flights to 31 'high risk' countries for Covid-19 spread, Pakistan included","Other countries on the list include India, Egypt, Lebanon and Sri Lanka among others.","02 Aug, 2020 07:53am"
Pakistan,In pictures: Pakistan celebrates Eidul Azha shadowed by Covid-19,"Sacrifices of goats, cows, camels and sheep were carried out nationwide.","01 Aug, 2020 06:25pm"
Pakistan,Eid Mubarak from your favourite Pakistani stars,Celebrations definitely seem more low-key this year but that doesn't mean our celebs didn't pull out all the stops for the gram,"01 Aug, 2020 05:17pm"
World,Money Heist will be back on Netflix for a fifth and final season,"Production for the last season, which will consist of 10 episodes, will start later this year in August.","01 Aug, 2020 03:00pm"
World,India posts record fiscal deficit as coronavirus hits economy,The country's economy is forecast to shrink 5.1pc in the current fiscal year.,"01 Aug, 2020 02:32pm"
Tech,Trump says will ban TikTok amid pressure on Chinese owner to sell,"“While we do not comment on rumors or speculation, we are confident in the long-term success of TikTok,” statement says.","01 Aug, 2020 09:44pm"
Pakistan,"Editorial: This Eid, let’s do whatever it takes to ensure the health and well-being of our fellow citizens","Last time, people violated the SOPs and thus unconsciously added to a sudden post-Eid surge in Covid-19 cases","01 Aug, 2020 12:47pm"
Pakistan,"'Observe SOPs, take care of the needy': Pakistani leaders wish nation on Eidul Azha","FM Qureshi says people must ""exercise [their] collective responsibility to ensure a safe & healthy Eid"".","01 Aug, 2020 06:56pm"
Pakistan,4 meaty recipes to make your Bakra Eid spread stand out,This mutton karhai and raan roast will be a hit at your Eid lunch,"01 Aug, 2020 11:23am"
Pakistan,Beyond FATF: Cracking down on violent extremist groups is the only viable path ahead for Pakistan,Coming off the grey list would considerably enhance Pakistan’s standing in the world.,"01 Aug, 2020 09:29am"
Newspaper,Website review: Spin the wheel!,"Hey kids, have you ever seen an interesting wheel game on any TV show, where contestants have to spin the wheel and...","01 Aug, 2020 05:38am"
Newspaper,Book review: Tinga’s tales,"Having easy, yet interesting, books to read at a young age play a great part in getting children interested in...","01 Aug, 2020 05:38am"
Newspaper,Art Corner,"Published in Dawn, Young World, August 1st, 2020","01 Aug, 2020 05:38am"
Newspaper,Reflections: Covid pensive,"We cannot see our reflection in running water, it is only in still water that we can see.","01 Aug, 2020 05:38am"
Newspaper,Story Time: Wings to fly,A little girl named Mary lived in a large orphanage in London.,"01 Aug, 2020 05:38am"
Newspaper,The weekly weird,‘Walking’ sharks discovered in Australia,"01 Aug, 2020 05:38am"
Newspaper,Spotlight,Sponge on the Run set for VOD release,"01 Aug, 2020 05:38am"
Newspaper,Cook-it-yourself: Microwave lava cake,"We all love lava cakes, but it isn’t easy to make them yourself as most of the...","01 Aug, 2020 05:38am"
Newspaper,Story Time: Greed isn’t good,Astudent asked his teacher; “What is greed?”,"01 Aug, 2020 05:38am"
Newspaper,Skill smart: Writing for publications,The idea seems simple! Write anything you like and the way you like.,"01 Aug, 2020 05:38am"
Newspaper,Poet's Corner,"Published in Dawn, Young World, August 1st, 2020","01 Aug, 2020 05:38am"
Newspaper,Story Time: The impact of encouragement,"Once, there lived a group of frogs near a small pond. They were great friends and played with each other. They ...","01 Aug, 2020 05:38am"
Magazines,Mailbox,Animals should not be in zoos,"01 Aug, 2020 05:38am"
Newspaper,Mailbox,Animals should not be in zoos,"01 Aug, 2020 05:38am"
Newspaper,"Celebrate wisely, act smartly",Eid Mubarak everyone! What a blessed time this is...,"01 Aug, 2020 05:38am"
Newspaper,Mailbox,Animals should not be in zoos,"01 Aug, 2020 05:38am"
Pakistan,Our identity crisis,One can imagine minions conducting raids on Lahore’s bookshops.,"03 Aug, 2020 11:05am"
Pakistan,Tourist areas with low Covid-19 incidence to be opened after Eid,"Officials say initially, families will get access to such places.","02 Aug, 2020 11:58am"
Pakistan,PM reaches Galiyat amid ban on tourists,"Police establish at least 24 checkposts in Galiyat, Mansehra, Kaghan and Naran to stop tourists.","01 Aug, 2020 12:43pm"
Pakistan,KP amends law to regularise those working for absentee Khasadars,Minister proposes powers for CM to fill finance commission vacancies.,"01 Aug, 2020 12:32pm"
Pakistan,Experts advise against eating too much meat,"Stomach issues from eating too much meat can force people to visit hospital, where chances of contracting Covid-19 are high.","02 Aug, 2020 11:50am"
Pakistan,Tree tsunami has turned Baloki area in Punjab green: PM,"""It gives me the greatest satisfaction to leave a green Pakistan for our coming generations,"" premier says.","01 Aug, 2020 12:16pm"
Pakistan,Three booked for torturing lions at Islamabad zoo,PM's aide has formed an inquiry committee to investigate the deaths of both lions.,"02 Aug, 2020 10:25am"
Pakistan,Railways probe terms pedestrians responsible for Tarnol accident,Official says the three women tried to cross the track in haste even though they had seen the train approaching.,"02 Aug, 2020 11:24am"
Pakistan,Support to FATF bills was meant to get Pakistan out of grey list: PML-N,Rashid claims opposition had not supported both bills in NA because the govt had not adopted a laid-down procedure.,"02 Aug, 2020 09:52am"
Pakistan,Coronavirus tests reduced in Punjab,Critics alleged that the Punjab govt has deliberately reduced tests to show less number of cases just to avoid criticism.,"01 Aug, 2020 01:18pm"
Pakistan,"Modi devouring Kashmir thanks to ‘failed’ foreign policy, says PPP leader","“Qureshi is the most [failed] foreign minister of a thoroughly failed govt in the history of Pakistan,” claims Chandio.","03 Aug, 2020 08:47am"
Pakistan,Probe into award of Mawach Goth cattle market contract ordered,SHC observes that the 60-day contract was given without following legal procedure.,"01 Aug, 2020 12:04pm"
Pakistan,"Army, NDMA to help Sindh govt in cleaning drains, encroachment removal",Desilting of three major storm-water drains given to FWO; corps commander assures Murad of support.,"01 Aug, 2020 11:36am"
Newspaper,Belarusian ‘Joan of Arc’ rallies thousands against veteran leader,"Tikhanouskaya, 37, announced her candidacy only after her husband, a blogger, was arrested in May.","01 Aug, 2020 10:34am"
Newspaper,"UK ‘puts brakes’ on reopening, imposes local rules as virus cases rise",Health secretary says restrictions being brought in because people are “meeting and not abiding to social distancing”.,"01 Aug, 2020 10:12am"
Newspaper,Hong Kong postpones elections as China crackdown deepens,"Beijing welcomes the move as “necessary, reasonable and legal”.","01 Aug, 2020 10:28am"
Newspaper,"US to pay $2.1bn to Sanofi, GSK in Covid-19 vaccine deal","Sanofi-GSK deal is for 100 million doses, at two per person, and gives the govt an option to purchase an additional 500m doses.","01 Aug, 2020 10:08am"
Newspaper,Major Australian city in virus ‘limbo’ as outbreak rages,State premier says “we haven’t been able to suppress it sufficiently”.,"01 Aug, 2020 10:31am"
Newspaper,"One Marine dead, 8 missing after accident off California",US Navy destroyer and a Coast Guard cutter search at sea while four helicopters search overhead.,"01 Aug, 2020 10:18am"
Newspaper,China celebrates completion of satellite navigation system,It could rival the US Global Positioning System (GPS) and significantly boost China's security and geopolitical clout.,"01 Aug, 2020 10:37am"
Newspaper,Republican lawmakers reject Trump’s suggestion to delay elections,"They reminded him that US constitution gives Congress the power to set the date for voting, not to the president.","01 Aug, 2020 10:24am"
Newspaper,World Athletics set Russia August deadline to pay fine,Extends freeze on giving Russian athletes permission to compete as authorised neutral athletes in intl events until money is paid.,"01 Aug, 2020 10:54am"
Newspaper,Premier League mulls clinical passports solution for fans’ return,Chief executive says bringing fans back vital not only for their teams on the pitch but for a variety of reasons off it too.,"01 Aug, 2020 10:50am"
Newspaper,Brilliant Billings guides England to easy ODI win over Ireland,"Ireland slipped to 28 for five in a horror start, but recovered to post 172 all out in a first competitive game for four months.","01 Aug, 2020 10:44am"
Newspaper,Twenty PCB officials listed as Northern Cricket Association office bearers,Board’s constitution violated in a clear case of conflict of interest.,"04 Aug, 2020 11:22am"
Newspaper,Jansher undergoes double back surgery successfully,Back and knee problems kept troubling Jansher throughout his career and eventually led to his retirement in 2001.,"01 Aug, 2020 10:47am"
Newspaper,Crude oil maintains gloomy outlook,Markets are emitting negative signals about Opec's move to open taps from August.,"01 Aug, 2020 09:45am"
Newspaper,BT says its 5G unaffected by Huawei ban,UK prime minister gave full-fibre broadband providers until 2029 to remove the Chinese tech.,"01 Aug, 2020 09:49am"
Newspaper,"PSX closes shortened week with 1,650-point gains","Analyst at JS Global says bullish week has taken ""cumulative returns to a staggering 16.5pc during brief period"".","01 Aug, 2020 09:38am"
Newspaper,World stocks struggle as economies shrink sharply,Europe as a whole was hammered by its sharpest rec­orded contraction in the second quarter.,"01 Aug, 2020 09:43am"
Newspaper,Deadlocked WTO fails to agree on appointing interim head,Diplomatic source says straightforward process has been complicated by US “politicisation”.,"01 Aug, 2020 09:35am"
Newspaper,"‘Small, medium agri-businesses need govt help’",UN survey shows MSMEs severely affected by Covid-19.,"01 Aug, 2020 09:31am"
Pakistan,Growers hold protest against water shortage,Protesters demand that the Pat Feeder Canal be handed over to Balochistan Frontier Corps.,"01 Aug, 2020 09:15am"
Pakistan,Gas company accused of sending inflated bills during lockdown,"One consumer complains he got a Rs37,000 bill for 65 units.","01 Aug, 2020 08:53am"
Pakistan,Senate defence committee to visit NCOC on Aug 7,"Committee members will be briefed ""regarding role of Pakistan Army in combating Covid-19 under national strategy"".","01 Aug, 2020 09:11am"
Pakistan,"Sindh govt, WB to launch solid waste management project",it is expected that the WB executive board will approve financing of $105 million for the project.,"01 Aug, 2020 09:06am"
Pakistan,"Situationer: MQM-P, PSP on a tight leash","For them, the future does not look very bright if the PTI continues to be the establishment’s favourite.","02 Aug, 2020 04:48pm"
Newspaper,Afghans flock to mosques for Eid prayers as ceasefire begins,President Ghani says 500 prisoners to be released during the festival.,"01 Aug, 2020 08:45am"
Pakistan,Breathalyser test now a must for PIA cabin crew,PIA makes arrangements to repatriate Pakistanis stranded in France.,"01 Aug, 2020 08:30am"
Pakistan,FATF gave Pakistan chance to put its house in order: Mushahid,Senator says Pakistan's changing attitude towards Afghanis­tan’s internal affairs also good for stable future of the region.,"01 Aug, 2020 08:36am"
Newspaper,Pilgrims perform last major rites of Haj,"Saudi government covering the expenses of all pilgrims this year, worshippers say.","01 Aug, 2020 08:43am"
Pakistan,Bureaucrat retains key planning body post,He was given the sought-after post owing to his experience as development professional in various institutions.,"01 Aug, 2020 08:40am"
Pakistan,Notices to be issued to sugar barons after Eid,Action against millers to be taken in light of investigations into scam.,"01 Aug, 2020 08:26am"
