Story Heading,Story Excerpt,Timestamp,Section
World,Netflix cancelled Hasan Minhaj's Patriot Act and South Asians are heartbroken,"A Change.org petition has already been made and garnered over 6500 signatures from fans, to bring back the show.","19 Aug, 2020 02:33pm"
Newspaper,"Bulls toss index over 41,000 barrier","While foreign investors resumed selling, mutual funds continued to build fresh portfolio.","28 Aug, 2020 02:03pm"
Newspaper,Major Australian city in virus ‘limbo’ as outbreak rages,State premier says “we haven’t been able to suppress it sufficiently”.,"01 Aug, 2020 10:31am"
Newspaper,"New rules tighten govt cash flow management, relax parliamentary oversight",Move towards a Treasury Single Account is a longstanding reform measure.,"07 Aug, 2020 11:43am"
Newspaper,Mauritius races to halt new oil spill as tanker breaks up,"More than 1,000 tonnes has already oozed from the ship, its Japanese operator says, causing untold ecological damage.","11 Aug, 2020 10:48am"
Pakistan,CDWP defers approval of scheme for Dasu project,Four uplift schemes worth Rs126bn cleared.,"20 Aug, 2020 08:51am"
Newspaper,"One Marine dead, 8 missing after accident off California",US Navy destroyer and a Coast Guard cutter search at sea while four helicopters search overhead.,"01 Aug, 2020 10:18am"
Pakistan,FO blames India for obstructing implementation of ICJ verdict on Jadhav,"“Our understanding is that India is making every possible effort to frustrate Pakistan’s efforts,"" says FO spokesperson.","28 Aug, 2020 12:58pm"
Newspaper,Financial advisers to be appointed for Roosevelt Hotel privatisation,TORs are being drawn up in consultation with PIA and Aviation Division for setting up a joint venture project.,"07 Aug, 2020 11:48am"
Newspaper,"Govt’s agreements with IPPs do not address circular debt, says Senate panel",KE holding back Rs44bn of consumers through stay orders: Nepra chairman.,"19 Aug, 2020 10:17am"
Pakistan,Govt defers presentation of FATF-related bills in NA,Invites opposition for talks; protesting JUI-F members sit in speaker’s gallery.,"11 Aug, 2020 10:08am"
Newspaper,"SMAP signs teaching agreement with Australia, England","“This is a big success and will yield fruitful results in the days to come,” SMAP President Dr Ucksy Mallick says.","17 Aug, 2020 10:14am"
Newspaper,Pakistan opens Chaman border for trade,Official sources say 317 trucks loaded with dried fruit and other goods crossed into Pakistan from Afghanistan.,"14 Aug, 2020 09:52am"
Pakistan,"Any plan to change Karachi’s status will be ‘attack’ on Sindh, says Bilawal",Claims Sindh govt’s response to Covid-19 has been lauded by WHO.,"14 Aug, 2020 11:39am"
Newspaper,"Arctic sea ice melting faster than forecast, say researchers",Findings show unusually high temperatures currently being seen in Arctic Ocean have only been observed during previous ice age.,"19 Aug, 2020 08:55am"
Pakistan,Karachi rains took me back to 1995 when water came flooding in and we took turns sleeping on a charpai,"Though this year’s rain has brought joy to me, I'm praying for it to slow down, and to stop, before it wrecks homes and lives.","27 Aug, 2020 06:14pm"
Newspaper,Indian troops open fire on procession in occupied Kashmir,"At least 40 people were injured, according to witnesses.","30 Aug, 2020 11:02am"
Pakistan,Who was Mir Hasil Bizenjo?,"Bizenjo struggled for a truly federal and democratic Pakistan where all could enjoy equal rights, his colleagues say.","21 Aug, 2020 10:27am"
Newspaper,US plan for ‘highest level’ Taiwan visit in decades angers China,The visit comes as relations between the world’s two biggest powers plunge to historic lows.,"06 Aug, 2020 10:58am"
Pakistan,'People are yearning for old Pakistan': PML-N presents white paper on govt's 2-year 'incompetence',"Shehbaz accuses govt of having ruined the economy, says country ""nosediving"" despite unprecedented support for PTI.","25 Aug, 2020 05:22am"
Pakistan,"Modi committed 'strategic blunder' by revoking occupied Kashmir's status, says PM Imran","Premier pays tribute to Kashmiris for ""how their morale is high even after such torture and provocation"".","05 Aug, 2020 05:57pm"
World,Producers of The Ellen Degeneres Show accused of sexual misconduct by former employees,A former Warner Bros employee said The Ellen Show “turns a blind eye” to alleged misconduct because the series “is a cash cow.”,"04 Aug, 2020 04:16pm"
Newspaper,Pakistan received record $2.7bn remittances in July: SBP,"PM welcomes ""good news"" for economy.","18 Aug, 2020 01:58pm"
Pakistan,‘Smart lockdowns’ lead to effective handling of Covid-19 in Pakistan,Infectious diseases society says level of preparedness of different healthcare facilities proved largely to be appropriate.,"11 Aug, 2020 10:17am"
Newspaper,CA confirms women’s series under Covid-19 protocols,"The entire NZ squad, all Australian players from NSW and Victoria states will need to enter 14-day quarantine before series.","30 Aug, 2020 01:33pm"
Pakistan,Barring dual nationals from electoral politics is a bogus protection,Former leaders freely ‘enjoy’ foreign properties and have made an entire life for themselves on other continents.,"04 Aug, 2020 11:55am"
World,India imposes curfew in parts of occupied Kashmir ahead of Article 370 revocation anniversary,"Police and paramilitary soldiers drive through neighbourhoods, go to people’s homes warning them to stay indoors.","04 Aug, 2020 12:50pm"
Pakistan,More rain forecast as authorities scramble to clear flooded roads in Lahore,Authorities claim water has been drained but photos posted on social media y residents suggest otherwise.,"11 Aug, 2020 10:55am"
Pakistan,PTI's economy report card,It is worrying that the IMF programme has begun to stall.,"10 Aug, 2020 07:44am"
Pakistan,BRT launch date likely on 10th,"The TransPeshawar company, which will manage the BRT operations, had announced bus fares last month.","07 Aug, 2020 12:06pm"
Newspaper,PCB eyeing England Twenty20 team’s tour to Pakistan next year,PCB chief executive Wasim Khan will meet ECB chief executive next week and will formally invite England to tour Pakistan.,"07 Aug, 2020 11:28am"
Newspaper,"430,000 new domicile certificates issued as India enforces Modi’s ‘settler’ scheme in occupied Kashmir","Modi’s Hindu nationalist government aims to change the demographic makeup and identity of the Muslim-majority region, critics say.","30 Aug, 2020 01:12pm"
Newspaper,CCP calls for end to wheat support price,Says heavily controlled wheat sector by govt is less advantageous for both small farmers and the scale atta chakki mills.,"27 Aug, 2020 10:40am"
World,Hong Kong researchers report first documented coronavirus reinfection in 33-year-old man,"“Given the number of global infections to date, seeing one case of reinfection is not that surprising,"" says one expert.","24 Aug, 2020 08:11pm"
World,US state secretary defends Saudi arms sales after watchdog report,"“We did everything by the book,” says Pompeo.","12 Aug, 2020 07:38pm"
Pakistan,GBLA polls sought before Nov 20,Joint resolution says conducting polls in the region is not possible in November due to snowfall.,"28 Aug, 2020 04:16pm"
Newspaper,Nepra to pass on 50 paisa per unit increase to electricity consumers,The Economic Coordination Committee has not taken a formal decision on the issue.,"28 Aug, 2020 11:59am"
Prism,I'm devastated for Beirut — a city I thought I hated,"""I survived Lebanon and Beirut but my roots are still there.""","07 Aug, 2020 11:19am"
Pakistan,NAB rejects minister’s view on Nawaz’s medical reports,Punjab Health Minister Dr Yasmin Rashid had demanded that the bureau be investigated first.,"25 Aug, 2020 11:09am"
Pakistan,"Govt offices, hospitals in Balochistan to reopen today",Employees asked to attend their offices with strict observance of SOPs.,"17 Aug, 2020 10:26am"
Newspaper,Women may mount stronger Covid-19 immune response: study,Since early in the pandemic it has been clear that men are at a far higher risk of dying from the virus than women.,"27 Aug, 2020 11:01am"
Newspaper,Additional Rs190bn financing for exporters,"“The banks will now have overall limits of Rs700bn for exporters for FY21,” says the SBP.","20 Aug, 2020 10:21am"
Newspaper,Emirates to expand its service in Pakistan,"Airline will now offer customers 53 weekly flights to Pakistan, which will increase to 60 weekly flights starting from Aug 16.","11 Aug, 2020 09:58am"
Pakistan,Over 32m children vaccinated against polio in 130 districts,"Health teams were provided face masks, hand sanitiser.","26 Aug, 2020 09:23am"
World,Israel launches sail-in cinema for Covid-safe viewing,"The floating cinema provided seating aboard 70 boats set in a lake, two metres apart to maintain social distancing.","21 Aug, 2020 12:04pm"
Newspaper,Hiroshima marks 75 years since atomic bombing,Entrance to Peace Park was sharply limited and only survivors and their families could attend the memorial ceremony.,"07 Aug, 2020 11:18am"
Newspaper,Hussain urges England batsmen to play Yasir like Kumble,"""Yasir will not bowl massive, turning deliveries on the first day,"" he says.","23 Aug, 2020 11:22am"
Newspaper,WHO warns Europe against lockdowns,Global health body says continent should be able to fight pandemic without reimposing lockdowns.,"21 Aug, 2020 11:17am"
Newspaper,"Textile sector tariffs face scrutiny, reform",Tariff Policy Centre would conduct a detailed study on the tariff structure of the textile sector.,"07 Aug, 2020 11:46am"
World,Death toll from Beirut blast reaches 100 and could rise: Lebanese Red Cross head,"Lebanon officials silent on cause of blaze; US president says it was not “some kind of a manufacturing explosion type event"".","05 Aug, 2020 04:06pm"
Newspaper,"Ex-CIA, FBI heads among 70 Republicans to back Biden",Full-throated condemnation of US president and backing of Biden will come three days before Trump’s nominating convention.,"21 Aug, 2020 11:04am"
Pakistan,"Zoo animals’ death: IHC issues show-cause notices to minister, officials",Chief justice observes lion and lioness of Maraghazar Zoo died because of negligence.,"12 Aug, 2020 09:34am"
Pakistan,Return of the one who never left,"There had been signs of a revival and return that we chose to ignore, as we celebrated a victory against a general that never was.","21 Aug, 2020 10:33am"
Newspaper,NON-FICTION: HOW A FOREIGNER'S MANSION SHAPED INDIAN MUSLIM HISTORY,"A superb new book about a remarkable family of scholars fills in an important gap in our society’s spiritual, intellectual...","10 Aug, 2020 11:57am"
Newspaper,"Book review: Jake And The Never Land Pirates: After A While, Crocodile!",It’s never a dull moment in the Pirate Island where Jake and The Never Land Pirates are based. With Captain Hook...,"08 Aug, 2020 06:43am"
Newspaper,"ESSAY: AINI APA, MY BELOVED AUNT","August 21 is the 13th anniversary of the death of Qurratulain Hyder, often dubbed ‘the doyenne of Urdu writers.’ Her niece...","23 Aug, 2020 07:15am"
Newspaper,COLUMN: INTELLECTUAL STUNTING,The potion people were given to consume over the decades was prepared by evenly mixing the majority faith...,"16 Aug, 2020 07:02am"
Pakistan,"Division of Sindh constitutionally impossible, declares Murad","Confirms formation of committee; says meetings with PM gave ‘colour of hatred, breaking Sindh’","18 Aug, 2020 07:18am"
World,Anxious families call for relatives in rubble of collapsed Indian building,"Residential building housed roughly 200 residents, at least 18 people yet to be found.","26 Aug, 2020 10:42am"
Pakistan,"In truth, there is no indication that the economy is 'on the right track'",That’s the thing with economic indicators: they can change. No single indicator tells the story of the economy.,"27 Aug, 2020 08:38am"
Newspaper,PCB announces provincial squads for upcoming season,For each provincial team 45 players have been selected with 32 of them awarded central contracts.,"30 Aug, 2020 01:35pm"
World,Last tweet from Chadwick Boseman's account becomes most-liked Twitter post ever,"""A tribute fit for a King,"" says Twitter.","31 Aug, 2020 03:09pm"
Pakistan,Rain destroys mud houses in Washuk,Officials say onion crops damaged by flooding caused by heavy rains in many parts of Washuk district.,"25 Aug, 2020 09:32am"
World,"If united, Prashant Bhushan and Rahul Gandhi may well save Indian democracy from getting crushed",Prashant Bhushan knows he cannot fight the fight alone. Who then could be his allies to cover the flanks?,"25 Aug, 2020 11:37am"
Pakistan,Opposition has reached consensus on PTI’s ouster: Nasir Shah,Says Bilawal and opposition wanted to “protect” the country from further harm and double standards of PTI.,"04 Aug, 2020 11:52am"
World,Police in occupied Kashmir probe claims of staged army gunbattle,Official says police are taking “all necessary steps to ascertain facts” in the killing of three young men.,"11 Aug, 2020 05:34pm"
World,"Israel, UAE reach 'historic peace agreement'","As per the US-brokered deal, Israeli and UAE delegations will sign bilateral agreements on a range of subjects.","14 Aug, 2020 05:44pm"
Pakistan,SOPs finalised for Muharram congregations,SOPs require speakers to highlight the plight of Muslims in India-occupied Kashmir in their sermons and speeches.,"18 Aug, 2020 08:46am"
Newspaper,Alternative energy policy unveiled,"Offers tax concessions, power plants on competitive bidding.","13 Aug, 2020 09:33am"
Newspaper,Betting on expatriates — once again,Market players don’t expect an overwhelming response from overseas Pakistanis to the Roshan Digital Account scheme.,"24 Aug, 2020 10:57am"
