Story Heading,Story Excerpt,Timestamp,Section
Newspaper,Panther Tyres goes for listing,The tyre-maker aims to raise at least Rs1.4bn at the floor price of Rs47 per share.,"01 Dec, 2020 09:54am"
Pakistan,"I only own one property, can disprove all corruption allegations: PML-N’s Ishaq Dar","Ex-finance minister on BBC's HARDtalk accuses govt of political victimisation, says NAB has ""lost its integrity"".","02 Dec, 2020 08:27am"
,Pakistan hopes to procure Covid-19 vaccine by first quarter of 2021: Dr Faisal Sultan,PM's aide suggests the vaccine will be provided free of cost to the public through govt funding.,"01 Dec, 2020 08:29pm"
World,South Korea passes law to allow BTS to postpone military service,The power of K-Pop?,"01 Dec, 2020 05:22pm"
World,Saudi Arabia allows Israeli commercial planes en route to UAE to cross its airspace: senior US official,Saudi official agency says permission was granted on UAE's request; Benjamin Netanyahu welcomes development.,"01 Dec, 2020 04:45pm"
World,Lonely no more: Kaavan the elephant makes new friend at Cambodian sanctuary,"“First contact with an elephant in eight years — this is a huge moment for Kaavan,” says rights group spokesperson.","02 Dec, 2020 04:49am"
Pakistan,Sometimes I wonder if my fans truly are for real: Sajal Aly talks about her DIAFA award,"""I was representing my country internationally and it just made me want to do more, work harder and bring more pride to Pakistan.”","01 Dec, 2020 03:22pm"
Pakistan,LHC bars Punjab govt from arresting activist Ammar Ali Jan,Court says arrest orders for the activist issued by Lahore DC are a violation of Supreme Court decisions.,"01 Dec, 2020 02:32pm"
Pakistan,'A reflection of Benazir': Aseefa's political debut reminds some Pakistanis of her late mother,People couldn't stop talking about was how Aseefa resembled her late mother — and not just in appearance but her oratorical style.,"01 Dec, 2020 02:13pm"
Pakistan,Is Velo Sound Station delivering on its promise of fresh pop music? The answer is yes,"Of the six releases so far, Natasha Noorani, Umair Jaswal and Shamoon Ismail left a lasting impression","01 Dec, 2020 01:22pm"
Pakistan,"National Covid-19 positivity rate drops to 6pc even as cases increase, NCOC told","Highest positivity ratio has been recorded in Mirpur, where an alarming 20.62pc of the tests are turning out to be positive.","01 Dec, 2020 03:04pm"
Pakistan,Notice to SHO on sexual harassment plea against Babar Azam,"The complainant had filed an application with the SHO for registration of FIR, claims it was not entertained.","01 Dec, 2020 11:12am"
Pakistan,Journalist Mehak Shahid refuses to cover sports from the sidelines,"The sports journalist talks navigating a male-dominated field, interviewing Shahid Afridi and about her Ahmed Shehzad fan club.","01 Dec, 2020 12:11pm"
Business,"The biggest risk to food security is affordability, not availability",Federal and provincial authorities expect no major disruptions in the supply of essential food items.,"01 Dec, 2020 09:52am"
World,UK government wants Netflix to classify The Crown as a work of fiction,"“Without this, I fear a generation of viewers who did not live through these events may mistake fiction for fact.""","01 Dec, 2020 09:43am"
World,A well-executed media policy is not enough to change the West's narrative about Pakistan,Narratives are extraordinarily durable.,"01 Dec, 2020 08:31am"
