Story Heading,Story Excerpt,Timestamp,Section
Newspaper,"Legal arrangements for more power, gas supplies to KE stalled","NTDC, SSGC want to receive Rs253bn dues from power utility before signing agreements for additional supplies.","05 Dec, 2020 11:43pm"
Newspaper,Indian man paraded naked for Facebook post ‘punishment’,The victim had made serious allegations against five men during a Facebook Live video.,"03 Dec, 2020 09:58am"
Pakistan,K-Electric warns of bad summer if gas pressure issues not resolved,Asks for gas supply agreement and network augmentation plans to conclude.,"26 Dec, 2020 08:43am"
Pakistan,Bilawal tests negative for Covid-19,The PPP chairman on November 26 disclosed that he was self-isolating after testing positive for Covid-19.,"05 Dec, 2020 11:49pm"
Business,2 Pakistani firms make it to Forbes’ coveted ‘under $1bn’ list,Systems Limited Pakistan and Feroze1888 Mills Ltd have made it to this year's list.,"04 Dec, 2020 01:35pm"
Pakistan,Mahira Khan and Marina Khan's message this wedding season has our hearts,"""There is a line I wrote which Marina delivers: today the heart finally allowed me to live. That sums up what we wanted to say.""","27 Dec, 2020 02:02pm"
Newspaper,15 die in SA after virus screening delays at border with Zimbabwe,Health department official says coronavirus screening for outgoing traffic has now been suspended.,"26 Dec, 2020 09:20am"
Pakistan,Here's what Meesha Shafi has in store for 2021,Can you guess if she's Team Coke Studio or Team Velo?,"29 Dec, 2020 07:26pm"
Newspaper,IHC irked over non-implementation of order for calling contract bids,"FBR, law ministry asked for explanation in tobacco track installation case.","19 Dec, 2020 09:04am"
Newspaper,Barca’s Messi to miss Eibar game with ankle injury,It has been his worst start to a campaign in 13 seasons in terms of goals and assists.,"28 Dec, 2020 10:17am"
Pakistan,Worrying ventilator occupancy rate in Punjab: 181 critical Covid patients shifted  to hospitals in a day,The sudden influx of critical patients at state-run hospitals has alarmed their respective managements.,"30 Dec, 2020 09:16am"
Sport,Gutted Kohli questions India's batting mindset after Adelaide humiliation,The usually articulate Kohli was at a loss for words to describe the feeling after the eight-wicket defeat in the series opener.,"19 Dec, 2020 06:59pm"
Pakistan,Covid positivity rate surges in Peshawar,Peshawar accounted for six mortalities and 196 new cases in the province.,"11 Dec, 2020 11:57am"
Pakistan,Pakistan's Covid vaccine drive needs antidote to conspiracy theories,"Countering anti-vaccine sentiments is a worldwide problem, but in Pakistan it is more dangerous than almost anywhere else.","08 Dec, 2020 05:29pm"
World,'What is going on in Kashmir?': Families dispute Indian claims youths killed in 'encounter' were fighters,"Pakistan calls for independent inquiry under international scrutiny into the ""extra-judicial killings"".","31 Dec, 2020 07:11pm"
Pakistan,Cabinet directs removal of encroachments from Margalla Road in capital,Stakeholders likely to hold on-spot meeting to discuss modalities today.,"23 Dec, 2020 10:07am"
World,How the novel coronavirus has evolved,Mutations have created at least seven strains of the coronavirus so far.,"10 Dec, 2020 01:58pm"
,'Historic moment': First Virgin Atlantic flight lands in Pakistan,Virgin Atlantic will also offer connecting flights to North America as well as cargo services.,"11 Dec, 2020 03:40pm"
World,Editorial: Trump’s attitude towards Muslims smacks of religious prejudice and unconscionable racism,"The US president's pardons were condemned not just by the Iraqi people but by many Americans too, including Congressmen.","28 Dec, 2020 08:09am"
Newspaper,"After Kohli exit, Shami injury adds to India’s woes",The player retired hurt after a painful blow to his bowling arm from a Pat Cummins bouncer.,"21 Dec, 2020 11:03am"
Newspaper,FESTIVAL: CONFERENCE IN THE TIME OF PANDEMIC,"Despite shifting online and the lack of physical crowds at the 13th International Urdu Conference, the spirit of scholarship with","13 Dec, 2020 08:23am"
Pakistan,10 Pattoki judges stop work in protest against bar ‘abuse’,"Say authorities have taken ""no action"" against alleged misbehaviour and abusive conduct of bar leader.","05 Dec, 2020 11:42pm"
Pakistan,"Residents of illegally constructed houses at Kidney Hill Park issued eviction notices, SC told",CJP Gulzar Ahmed warns Karachi commissioner of contempt proceedings if encroachments not removed from park land.,"30 Dec, 2020 04:17pm"
Pakistan,Khokhar confirms he has resigned as Bilawal’s spokesman,PPP leaders deny the senator has differences with party leadership on policy issues.,"13 Dec, 2020 09:37am"
World,China approves first homegrown vaccine said to be 79.3pc effective,Pakistan to order 1.1 million doses of the vaccine which will be given to frontline health workers in first quarter of 2021.,"31 Dec, 2020 01:05pm"
Pakistan,Maryam asks 2 PML-N MNAs to verify their resignations with speaker 'even if sent by mistake',"""If the NA speaker asks you to verify the letters then say here are your resignations, now accept them,"" she tells the lawmakers.","27 Dec, 2020 08:22am"
World,"India planning strike against Pakistan, seeks approval of partners: FM Qureshi in Abu Dhabi","Says in his opinion this operation is being planned so India can divert attention from ""serious internal issues"".","18 Dec, 2020 10:01pm"
Pakistan,What it's like to become a meme in Pakistan,Is there any going back for the people featured in them?,"20 Dec, 2020 01:21pm"
World,All 2021 Warner Bros. movies will debut on HBO Max the same time they hit cinemas,"“Given the unprecedented time that we’re in, we needed a creative solution to address our fans, filmmakers and exhibitors.""","04 Dec, 2020 09:50am"
Pakistan,"Punjab EPA has cleared Ring Road project, says commissioner","Says 300,000 saplings will be planted along the ring road.","01 Dec, 2020 10:51am"
Pakistan,Govt ready to sit with PDM to solve issues: Chaudhry Sarwar,Says it seems opposition parties lack unanimity of views on tendering resignations.,"21 Dec, 2020 10:19am"
Newspaper,Bach runs unopposed for second term as IOC president,"If re-elected, Thomas Bach’s term will end in 2025, a year after the Paris Olympics.","02 Dec, 2020 11:12am"
Pakistan,Punjab cabinet approves Rs5 billion loan for acquiring riverfront land,Punjab CM says the PTI govt has come into power to provide relief to the common man.,"18 Dec, 2020 09:06am"
Pakistan,"Murad unaware of back-door contacts between PDM, establishment",Says PA passed a bill for collection of Workers Welfare Fund and CCI cannot supersede the provincial law.,"23 Dec, 2020 10:34am"
World,Explainer: What do the UK allergic reaction cases mean for Pfizer's Covid-19 vaccine,UK officials said there have been two reports of anaphylaxis and one report of a possible allergic reaction since roll out began.,"10 Dec, 2020 07:43pm"
,"'Be responsible in how you celebrate': Govt officials, politicians felicitate those celebrating Christmas","""The govt will try its utmost to uphold the principles of equality and justice for all communities,"" says President Alvi.","25 Dec, 2020 11:31am"
Pakistan,"Men, women and children revel in Christian Interfaith Peace Rally",Group of physically-challenged persons also participate in the rally.,"21 Dec, 2020 10:54am"
