Story Heading,Story Excerpt,Timestamp,Section
World,Palestinian Authority cuts all ties with Israel and US,President Abbas says he refused to discuss Trump's Mideast plan by phone or to receive even a copy of it to study it.,"02 Feb, 2020 09:41am"
Pakistan,4 young boys who trespassed on Hindu temple in Chhachhro set free,"Suspects released as complainant withdraws charges against them on Hindu panchayat's request as a ""goodwill gesture"".","01 Feb, 2020 09:54pm"
Pakistan,Pemra slaps Rs1 million fine on Channel 92 for 'maligning' SAPM Zulfi Bukhari,"Bukhari says he was portrayed as a traitor in the programme Jawab Chahiye, urges channel to apologise.","01 Feb, 2020 10:40pm"
World,"Suspected Hindu radical fires at protesters in India, in 2nd such incident in three days",Police say that they have taken the shooter into custody and recovered a weapon.,"01 Feb, 2020 09:04pm"
Tech,Apple takes smartphone sales crown from Samsung,Apple is recovering due to cheaper iPhone 11 pricing.,"01 Feb, 2020 06:25pm"
Pakistan,Parliamentarians ready draft bill seeking 100 per cent increase in their salaries,Draft legislation expected to be tabled in the Senate on Monday; PPP refuses to support bill.,"01 Feb, 2020 11:19pm"
Pakistan,Pakistan not joining global forum on cybercrime due to reservations by intelligence agencies: ministry,Ministry of Foreign Affairs submits written reply after court asked for the reason of abstinence.,"01 Feb, 2020 06:30pm"
,How your clothes become microfibre pollution in the sea,"Most people don't realise it, but the majority of our clothes are made from plastic, says experts.","01 Feb, 2020 05:43pm"
World,China's isolation grows as coronavirus toll reaches 259,US and Australia lead a growing list of nations to impose extraordinary Chinese travel bans.,"01 Feb, 2020 06:49pm"
World,Pakistani nationals stranded in China's Ürümqi get extension in visa,All of them have been provided hotels and food will be made available for them until flights resume to Pakistan.,"01 Feb, 2020 04:12pm"
World,Adam Sandler movies do so well on Netflix that they're making four more,Sandler’s Murder Mystery was ranked the streaming service’s most popular title in the United States in 2019.,"01 Feb, 2020 04:08pm"
,Govt stays firm on decision to not repatriate Pakistanis from virus-hit China,Dr Zafar Mirza says Pakistani citizens stranded in China will only return after being quarantined for 14 days.,"02 Feb, 2020 07:54am"
World,Delhi shooter was quiet teenager who pushed Hindutva cause online,"In social media posts and conversations with some classmates, he spoke of restoring Hindu pride.","08 Feb, 2020 11:02am"
Pakistan,"Adab Festival begins with speeches, book launches and award announcements","""Literature comes in handy” when judges can’t say things themselves, shared former CJ Asif Saeed Khosa.","01 Feb, 2020 03:02pm"
Pakistan,BJP preparing to repeat Myanmar-style genocide in India: PM Imran,"""This is exactly what happened in Myanmar when they first started registration [...] and then the genocide took place.""","13 Feb, 2020 10:49am"
World,"UK publication to pay £180,000 for falsely linking Pakistani origin man to paedophile ring","Mail on Sunday had implied that Wajed Iqbal, a British national of Pakistani origin, acted as ""fixer"" for Rochdale gang.","01 Feb, 2020 03:05pm"
World,"Woman says Harvey Weinstein yelled, ‘You owe me!’ before raping her","What she thought was a professional dinner at a Los Angeles hotel ended up in his suite, she testified.","01 Feb, 2020 02:14pm"
Pakistan,Pakistan's first-ever all-female peacekeeping team awarded UN Medal in Congo,"“Throughout their deployment the Pakistani female officers worked hard to win the trust of the community,” says mission.","01 Feb, 2020 01:45pm"
Pakistan,Asim Azhar pens apology to fans disappointed with the PSL anthem,"""Trust me, being a cricket fan, I get it,"" he said.","01 Feb, 2020 01:05pm"
Sport,Fawad Alam included in 16-member squad for upcoming Tests against Bangladesh,It remains to be seen whether Fawad Alam would make it to the final team.,"01 Feb, 2020 12:44pm"
World,Update in US travel advisory for Pakistan termed as 'step in the right direction',US travel advisory acknowledges that “Pakistan’s security environment has improved”.,"01 Feb, 2020 11:23am"
Business,Poor performance results in major shake-up in Customs,Transfers have been made at a time when FBR Chairman Shabbar Zaidi is on a medical leave.,"01 Feb, 2020 11:04am"
Pakistan,Young markhor set free after treatment,The age of the male markhor is three years measured by the length of its horns.,"01 Feb, 2020 09:24am"
Newspaper,Tokyo considers releasing water from tsunami-hit N-plant into sea,It is meant to solve a growing problem for the plant’s operator stuck between limited storage space for the water.,"01 Feb, 2020 11:33am"
