Story Heading,Story Excerpt,Timestamp,Section
,,,
,,,
Newspaper,Mass wedding defies virus fears in S. Korea,"Festivals, K-pop concerts have been cancelled over fears large events could facilitate virus transmission.","08 Feb, 2020 09:38am"
,,,
,,,
,,,
,,,
,,,
,,,
Sport,"PSL 2020 to carry total prize money of $1 million, winning team will receive $500,000","The runner-up team will receive $200,000; $4,500 announced for each player of the match, $80,000 for other categories.","18 Feb, 2020 12:50pm"
,,,
,,,
,,,
Pakistan,Jirga slaps Rs3.2m fine on police  party for killing woman in raid,The jirga proceedings were attended by officials of the area police as well.,"01 Feb, 2020 10:50am"
,,,
,,,
Pakistan,Suspected patients test negative as virus screening kits arrive,"WHO provides technical guidance at federal, provincial levels.","03 Feb, 2020 07:10am"
,,,
,,,
,,,
,,,
,,,
Newspaper,"IMF, govt agree on steps for $450m release",Announcement made by Fund’s mission chief for Pakistan.,"28 Feb, 2020 07:35am"
Pakistan,Protest held against increasing accidents in mines,"Mineworkers demand safety arrangements, facilities.","15 Feb, 2020 09:04am"
,,,
,,,
World,9 people killed in 5.7 magnitude earthquake on Turkey-Iran border,"Health ministry says 37 people have been injured, ambulances and medical teams sent to the province.","23 Feb, 2020 05:40pm"
,,,
,,,
,,,
,,,
,,,
,,,
,"After intense debate, Senate rejects bill proposing increase in lawmakers' salaries","Bill sought to increase salaries of parliament members from Rs150,000 to Rs300,000.","03 Feb, 2020 08:38pm"
,,,
,,,
,,,
,,,
,,,
,,,
Sport,PSL 2020: Karachi Kings emerge victorious in nail-biting game against Peshawar Zalmi,"Zalmi lost the match by 10 runs, failing to reach the 202-run target set by the Kings.","22 Feb, 2020 07:12am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,Red zone files: Who will bell the cat?,PM Khan is brilliant in terms of confidence but not-so-brilliant in details.,"27 Feb, 2020 08:55am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Pakistan,"134 passengers from China scanned, cleared of Coronavirus at IIA",Passengers included 29 Chinese nationals.,"10 Feb, 2020 09:22am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Who is Hafiz Saeed and why his conviction matters,The past decade has seen Saeed in and out of the limelight owing to crackdowns by the govt on his militant organisation.,"12 Feb, 2020 04:43pm"
,,,
,,,
,,,
,,,
,,,
Business,"Implementation of IMF programme has led to increase in investment, says Shaikh","Finance adviser says govt taking steps to control inflation, as two-week negotiations with IMF begin.","04 Feb, 2020 07:34am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
