Story Heading,Story Excerpt,Timestamp,Section
Federation of Pakistan v Gen Pervez Musharraf: Treason now accountable,"After the special court's verdict in the high treason case, Article 6 can no longer be dismissed as a dead letter.","01 Jan, 2020 09:55pm",
Chinese national held for beating traffic police constable in Karachi,The suspect assaulted the constable after he prevented the former from parking his car in a no-parking zone: police.,"01 Jan, 2020 08:35pm",Pakistan
Iraqi paramilitaries call for withdrawal from US embassy,"Overnight, demonstrators pitched tents and camped outside the embassy walls.","01 Jan, 2020 07:26pm",World
Sarmad Khoosat reveals why Zindagi Tamasha's trailer was removed from YouTube,We also have a release date.,"02 Jan, 2020 01:17pm",Pakistan
PSL 2020 set to begin on February 20,"Of the total 34 matches, 14 will take place in Lahore, nine in Karachi, eight in Rawalpindi and three in Multan.","02 Jan, 2020 10:56am",Sport
"Despite extreme differences, Centre willing to work with Sindh to benefit citizens: Asad Umar",Says meeting on Centre's projects in Karachi finds progress has improved but difficulties still remain.,"01 Jan, 2020 03:27pm",Pakistan
'Is NAB law only there for politicians?' asks Raza Rabbani during Senate session,Opposition criticises government for hastily summoning NA session as PM Imran stays away.,"02 Jan, 2020 08:01am",
UAE Crown Prince to visit Pakistan tomorrow 'to further strengthen bonds of friendship',The Emirati crown prince had also visited Pakistan in January last year.,"02 Jan, 2020 12:53pm",World
‘New-year euphoria’ pushes stocks in the green as KSE-100 closes 664 points up,Analysts attribute rise to new year’s “euphoria” coupled with a positive economic outlook in the medium to long term.,"01 Jan, 2020 06:13pm",Business
An Islamabad Police parody account is trolling Pakistanis on Twitter,"Not going to lie, we're more invested than ever in Islamabad because of this very funny albeit fake account","01 Jan, 2020 03:17pm",Pakistan
"Thousands march in Hong Kong on New Year's Day, pledge to 'keep fighting'","Police fire tear gas, rubber bullets and water cannons during some brief standoffs.","01 Jan, 2020 02:45pm",World
India approves third moon mission months after landing failure,India's third lunar mission will likely launch in 2020 and will cost less than its previous mission.,"01 Jan, 2020 02:32pm",World
Temperature in Karachi drops to season's lowest on first day of new year,"Temperature may drop as low as eight degrees Celsius in the coming days, says Met department official.","01 Jan, 2020 03:11pm",Pakistan
India celebrates New Year's Eve with protests against citizenship law,"More than 200 people gather in and around a makeshift stage in a Muslim neighbourhood chanting slogans, reciting poetry.","01 Jan, 2020 01:58pm",World
Smoke could affect play in 3rd Test at Sydney Cricket Ground,Air quality has been a regular concern for Sydney residents in recent weeks.,"01 Jan, 2020 01:27pm",Sport
Nasty divorce rumours about Syra-Shahroz point out celebs have the right to a personal life too,"“Social media should be the first to apologise for ‘breaking’ the news,” wrote Anoushey Ashraf on Instagram.","01 Jan, 2020 01:21pm",Pakistan
2019 lifted me to a new level in Test cricket: Babar Azam,"""The more you play the longer format, the more you understand the nuances of the game and find your way.""","01 Jan, 2020 01:41pm",
"North Korea ends test moratoriums, threatens 'new' weapon","Pyongyang has previously fired missiles capable of reaching the entire US mainland, and carried out six nuclear tests.","01 Jan, 2020 01:05pm",World
A 10-part documentary about Justin Bieber is heading to YouTube,It will chronicle the making of the singer’s first album in four years and give fans a glimpse into his private life.,"01 Jan, 2020 01:42pm",World
Swat's snowy peaks a winter treat for tourists,"In winter, the scenic valley transforms into a white wonderland, offering tourists multiple opportunities for adventure.","01 Jan, 2020 01:00pm",Pakistan
PIA chief stopped from working after petition challenges his appointment,SHC issues notices to Air Marsal Arshad Malik and federal govt for Jan 22.,"01 Jan, 2020 11:56am",Pakistan
What does Pakistani fashion hold in store for 2020?,"Fashion in Pakistan has always been a rollercoaster ride but in 2019, it slowed down, becoming more of a chugging train.","01 Jan, 2020 11:30am",Pakistan
Trump threatens Iran after Baghdad embassy attacked,"""They will pay a very BIG PRICE! This is not a Warning, it is a Threat,"" writes Trump, adding ""Happy New Year!""","01 Jan, 2020 01:29pm",World
