Story Heading,Story Excerpt,Timestamp,Section
Sport,India's Shashank Manohar steps down as ICC chairman,"The 62-year-old successfully spearheaded efforts to restructure the ICC while in office, curbing the dominance of the Big Three.","01 Jul, 2020 08:47pm"
World,IOK erupts in protest after Indian troops kill elderly man travelling with 3-year-old grandson,The deceased's grandson was later pictured sitting on his chest.,"02 Jul, 2020 09:41am"
Tech,"PTA temporarily suspends 'addictive' online game PUBG, citing health concerns","Says it has received several complaints about the game's potential negative impact on children's physical, psychological health.","01 Jul, 2020 06:49pm"
World,"Indian groom's wedding, funeral leave over 100 infected with coronavirus","The groom, who returned home from near New Delhi only a week before the wedding, had shown symptoms before the nuptials.","01 Jul, 2020 06:39pm"
World,UK offers Hong Kongers immigration rights after new China law,The offer applies to an estimated three million Hong Kong residents with British National Overseas status.,"01 Jul, 2020 06:22pm"
World,"In retaliation to US move, China orders 4 American media outlets to give details on staff","AP, UPI, CBS and NPR are required to provide information about staff, financial operations and real estate in China within a week.","01 Jul, 2020 03:32pm"
Pakistan,How were fairness creams even a thing for this long?,"From harmful toxins to the obvious colonial hangover, the product is problematic in every way and always has been.","01 Jul, 2020 03:24pm"
Business,Airlift raises $10m in Series A-1 financing as it ventures into grocery delivery,"""Airlift’s Series A-1 round marks one of the largest capital investments in the region,"" says the startup's CEO.","02 Jul, 2020 02:13pm"
Business,Inflation edges up slightly to 8.6pc in June,Average inflation rate currently stands at 10.74pc in outgoing fiscal year 2019-20 that ended June 30.,"01 Jul, 2020 02:25pm"
World,Iconic comedy writer Carl Reiner passes away,Tributes to Reiner poured in from across the show business spectrum,"01 Jul, 2020 01:45pm"
,"UK withdraws PIA permit to operate from Birmingham, London and Manchester airports",UAE seeks to verify the credentials of Pakistani pilots and engineers employed in its airlines.,"01 Jul, 2020 04:08pm"
World,"Airbus cuts 15,000 jobs to face 'gravest crisis aviation industry has ever experienced'","Lufthansa to slash 22,000 jobs, British Airways 12,000, Delta Air Lines 10,000 and Qantas 6,000 as part of a cost-cutting drive.","01 Jul, 2020 01:21pm"
World,Harvey Weinstein sexual harassment lawsuits settled for $19 million,"Lawyers call the deal a ""complete sellout"" since Weinstein doesn't have to accept responsibility or pay from his own pocket.","01 Jul, 2020 01:19pm"
World,"US coronavirus cases rise by 47,000, biggest one-day spike of pandemic","California, Texas and Arizona have emerged as new US epicentres of the pandemic.","01 Jul, 2020 02:52pm"
Prism,Modi skips Eidul Azha in the line-up of upcoming festivals in India. Act of omission or commission?,"In his address Tuesday, Modi mentioned up to 12 upcoming festivals till the end of the year, but failed to mention Eid.","01 Jul, 2020 11:42am"
Pakistan,Singer Haroon Rashid has tied the knot,"The ceremony took place on June 29 at the bride's residence in Bani Gala, Islamabad.","01 Jul, 2020 11:00am"
World,'Truth behind US visa ban is that a white nationalist president doesn't want to import brown Indians',"Ironically, no one in India seems to want to accept the truth behind the US visa ban.","01 Jul, 2020 09:58am"
Pakistan,"For the government, the crisis of confidence is far from over",The opposition seems to have become more coherent and forceful in challenging the government.,"01 Jul, 2020 11:56am"
Pakistan,Bilawal to run PPP poll campaign in GB,PPP chairperson regrets elections being held in GB despite the Covid-19 pandemic.,"01 Jul, 2020 10:47am"
