Story Heading,Story Excerpt,Timestamp,Section
Pakistan,First consultation on Citizens Protection rules questions regulation of fake news,Pakistan Telecommunication Authority has been asked to release a report on the online content it had reported and removed so far.,"07 Jun, 2020 06:14pm"
World,Israel builds new Jerusalem road that will link settlements as government weighs West Bank annexation,"Palestinians say the new road will benefit settlers, and will further undermine the feasibility of East Jerusalem as the capital of a future state.","15 Jun, 2020 08:40pm"
Pakistan,Balochistan warns SOPs violators of strict three-day lockdown,"“The government is now seriously considering to impose a strict lockdown for three days in Quetta and other areas of the province,"" says Shahwani.","06 Jun, 2020 09:49am"
Newspaper,"Uncapped Haider vows to impress, if given chance on England tour",Haider made a rather agonising first-class debut during the revamped Quaid-e-Azam Trophy for Northern last September.,"19 Jun, 2020 10:02am"
Newspaper,Officials begin to take notice as petrol shortage worsens,Ogra issues show-cause notices to six OMCs for violating stock rules.,"04 Jun, 2020 08:34am"
Pakistan,189pc increase in cyber harassment complaints during lockdown: Digital Rights Foundation,74pc of the complaints registered were reported by women.,"03 Jun, 2020 05:11pm"
Pakistan,"A decade after Lord's scandal, match-fixing still haunts Pakistan cricket","""We should avoid being desperate and rather give new talent a chance to prosper,"" believes Ramiz Raja.","05 Jun, 2020 11:22am"
Pakistan,Covidiots in courtroom irk chief justice,"“What happened to the formula of social distancing? Who are you and why are you sitting here,” asks Justice Gulzar.","02 Jun, 2020 08:56am"
Pakistan,Mismanagement mars peace jirga in Wana,Jirga was convened by administration to seek input of local tribes to stop targeted killing and other crimes in South Waziristan tribal district.,"05 Jun, 2020 10:24am"
Pakistan,Face mask must for visitors to govt offices in KP,Notification says it would be in the best public interest that people without masks not be allowed in govt offices.,"05 Jun, 2020 10:11am"
Newspaper,Emirates employees face 50pc basic pay cut,"Official says  decision not taken lightly, but it reflected the severe conditions the company and the whole aviation industry were facing.","08 Jun, 2020 08:55am"
Newspaper,Indian govt’s policies threatening peace in S. Asia: PM Imran,Imran speaks to Italian counterpart to build support for debt relief for poor countries; expelled staffers return from Delhi.,"02 Jun, 2020 08:40am"
World,JK Rowling says she's a domestic abuse and sexual assault survivor,The author revealed her personal experiences in an essay after she drew criticism for her insensitive remarks on trans issues,"11 Jun, 2020 12:16pm"
Newspaper,Inzamam queries wisdom of naming  big squad for England tour,“There are 29 players and 15 officials in the squad. I’ve never seen such a big management and a huge squad like that.”,"15 Jun, 2020 09:56am"
World,India-China tensions: A perilous stand-off to avoid,"Had Indian leaders been more forthcoming with the truth, there would perhaps be a more informed polity.","16 Jun, 2020 08:36am"
Newspaper,Washington paints ‘Black Lives Matter’ mural near White House,"The mural ends near St John’s Episcopal Church, where US President Trump staged a photo-op.","07 Jun, 2020 07:44am"
Newspaper,"PIA brought back 479 bodies of Pakistanis, NA told","56,846 citizens repatriated from 60 countries in four months.","11 Jun, 2020 08:09am"
Pakistan,"Hospitals in Karachi, Lahore running out of space as cases rise","In the country's largest two cities of Karachi and Lahore, hospitals are already struggling due to a sharp rise in Covid-19 patients in recent weeks.","06 Jun, 2020 07:52pm"
Newspaper,Four killed in Kabul mosque bombing,Taliban term the attack a ‘heinous crime’.,"13 Jun, 2020 08:02am"
Pakistan,PIA to operate two flights to Kyrgyzstan to bring back stranded Pakistanis,Flight operations between Pakistan and Kyrgyzstan has remained suspended for the past year.,"15 Jun, 2020 09:19am"
Newspaper,Assad’s uncle gets jail term in France,"Rifaat al-Assad, 82, is unlikely to serve his prison sentence given his advanced age.","18 Jun, 2020 09:44am"
Pakistan,'Smart lockdown' begins in Karachi's Covid-19 hotspots,"Asad Umar says govt ""hopes targeted lockdown will stop the spread, allow us to flatten the curve"".","18 Jun, 2020 08:18pm"
Newspaper,‘Tight-rope walking’ croc may have stood on two legs: study,"Researchers from China, Australia and US study footprints.","13 Jun, 2020 10:26am"
Newspaper,"Covid-19 to worsen global inequality, says Baqir","“Lockdown is a luxury for rich countries which economies like Pakistan can not sustain,” says SBP governor.","11 Jun, 2020 08:30am"
Newspaper,Five killed in Kashmir clash with Indian troops,"Hundreds gather on the streets, shouting ‘Go India, go back’.","08 Jun, 2020 08:20am"
