Story Heading,Story Excerpt,Timestamp,Section
Pakistan,"OIC supports Kashmir issue settlement under UN resolutions, says envoy",Special envoy on Jammu and Kashmir Yousef M. Al Dobeay says Kashmir and Palestinian issues top the OIC agenda.,"05 Mar, 2020 07:55am"
Newspaper,"Govt cuts petrol, diesel prices by Rs5 per litre",Prices of petrol and diesel have been cut to Rs111.60 and Rs122.26 respectively.,"01 Mar, 2020 07:56am"
Newspaper,WB study highlights ‘gender dividend’,"Study finds that if women earned the same as men, global human capital wealth could increase by about one-fifth.","05 Mar, 2020 08:24am"
Pakistan,Don't rush to the hospital if you think you have coronavirus — here's why,"Find out how you can self-isolate, whether you live alone or with your family.","25 Mar, 2020 09:33pm"
World,Indicted Netanyahu claims victory in Israel vote,Exit polls give Netanyahu's Likud party between 36 and 37 seats while ballots are still being counted.,"03 Mar, 2020 11:15am"
Pakistan,Capital admin opens four ration warehouses for the needy,"More warehouses will be established in other parts of the capital, says Islamabad DC Hamza Shafqat.","26 Mar, 2020 09:45am"
Newspaper,Italy closes sports events to fans until April over virus fears,Davis Cup qualifier between Italy and South Korea in Cagliari on Friday and Saturday will be held without fans.,"06 Mar, 2020 09:26am"
Pakistan,Senate improved legislative output in 2019-20,Government sponsored bills slightly decreased while the number of private member bills doubled.,"13 Mar, 2020 09:06am"
Newspaper,Afghan women fear Taliban return,"Across the country, women remain wary of militants, desperate end the violence, but fearful of paying a heavy price.","02 Mar, 2020 08:37am"
Pakistan,Engro shuts down Karachi offices for 3 days after employee tests positive for coronavirus,"During the closure, Engro offices at The Harbour Front will be disinfected while employees will work from home.","10 Mar, 2020 08:24pm"
Pakistan,"Centre, Sindh at odds on lockdown; Punjab extends ‘shutdown’",Sindh CM orders tests of all cabinet members after minister tests positive.,"24 Mar, 2020 07:12am"
Pakistan,No coronavirus case in Pindi district: Deputy Commissioner,"760 people coming from abroad tested for coronavirus, none come out positive.","13 Mar, 2020 08:37am"
Newspaper,14 US states to vote on ‘super Tuesday’,Four of the country’s 50 states have already voted.,"02 Mar, 2020 09:01am"
Pakistan,Iman Aly reveals Raees was offered to her first,"""90% of the movies made in Pakistan today are still offered to me first,"" she added.","21 Mar, 2020 06:30pm"
Pakistan,Virus-induced restriction on international flights takes effect,Domestic flights operation to continue at all airports.,"15 Mar, 2020 08:01am"
Pakistan,88-year-old anonymous donor gives Sindh government a million rupees to beat Covid-19,"Chief Minister Murad Ali Shah shared the heartwarming news and let's just say, faith in humanity restored.","24 Mar, 2020 03:56pm"
Pakistan,Health emergency declared in Balochistan,Legal action to be taken against people sheltering illegal immigrants anywhere.,"17 Mar, 2020 09:36am"
Newspaper,"Automated system for payment of taxes, DLTL",Proposed system will generate amount of rebate and automatically transfer it to exporters' accounts.,"14 Mar, 2020 09:35am"
Pakistan,SC to hear petition of mentally unstable prisoners on 30th,Justice Manzoor says state has to ensure no death-row convict should suffer from any physical or mental health issue.,"13 Mar, 2020 10:34am"
Pakistan,"2020 will be year of jobs, vows PM",PM Imran says it is his government's mission to construct homes for low-income groups of society.,"04 Mar, 2020 08:00am"
Newspaper,Mailbox,Congrats Naseem Shah,"14 Mar, 2020 07:10am"
Pakistan,Cut in Railway operations under study,The proposal was floated at a recent meeting at the PR’s headquarters.,"18 Mar, 2020 09:49am"
Pakistan,Two constables martyred in attack on police station,Official sources say that armed men attacked the police station with heavy weapons.,"20 Mar, 2020 08:06am"
Pakistan,17 killed as heavy rains batter Khyber Pakhtunkwa,Over 30 people have also been injured; PDMA says relief efforts are ongoing.,"07 Mar, 2020 03:57pm"
Pakistan,Five pilgrims killed as bus overturns,The seriously injured people were taken to Karachi for treatment.,"16 Mar, 2020 08:30am"
Pakistan,"In rare move, Bilawal resists temptation of criticising PM","Announces ""no criticism policy"",  expresses hope that govt will respond to coronavirus challenge proactively.","20 Mar, 2020 07:58am"
Pakistan,Govt urged to impose health levy to generate funds,Anti-tobacco advocates suggest imposition of health levy on tobacco products and sugary drinks.,"20 Mar, 2020 10:11am"
