Story Heading,Story Excerpt,Timestamp,Section
Pakistan,Baloch journalist goes missing in Sweden,Sajid Hussain Baloch is the chief editor of online magazine Balochistan Times.,"02 May, 2020 08:12am"
Pakistan,"As a 'green stimulus', Pakistan sets virus-idled to work planting trees","Unemployed labourers are now doing jobs as ""jungle workers"", planting saplings for the 10bn Tree Tsunami programme.","01 May, 2020 12:09pm"
Pakistan,"Pakistan, India and the world mourns Irrfan Khan’s demise","Saba Qamar, Sonam Kapoor, Amitabh Bachchan and Ava DuVernay are among those paying tribute.","01 May, 2020 01:37pm"
Pakistan,Covid-19 and Pakistan's data narrative,Clear data-driven communication will go a long way in buying compliance and a more formidable national response.,"27 May, 2020 06:59pm"
Newspaper,US commission urges govt to place India on list of countries violating religious freedom,"A report says that ""the steepest, and most alarming, deterioration in religious freedom conditions was in India"".","02 May, 2020 01:47pm"
Pakistan,NA speaker Asad Qaiser goes into home quarantine after testing positive for Covid-19,He urged the nation to take precautions and sought their prayers.,"01 May, 2020 09:01am"
Pakistan,Lockdown restrictions in Sindh to remain until end of Ramazan: spokesperson,"""I think the prime minister is a victim of confusion himself or wants to confuse the people,"" says Murtaza Wahab.","01 May, 2020 02:45am"
World,"Cut oil supply or lose US military support, Trump told Saudis: report",Trump delivered the message to the crown prince 10 days before the announcement of the production cuts.,"01 May, 2020 07:14am"
Pakistan,"PM, aides reiterate 'coronavirus situation not bad' in Pakistan",Premier says government will contribute Rs4 for every Rs1 donated to the corona relief fund.,"01 May, 2020 08:05am"
Pakistan,"Press freedom report terms Islamabad 'riskiest' territory for journalists, followed by Sindh","At least 91 cases of violence recorded against journalists in Pakistan over past year, says Freedom Network in report.","01 May, 2020 12:44am"
Pakistan,Punjab’s Covid-19 tests reduced without explanation,"1,755 tests performed on April 25, even though provincial capacity stands at 5,000 tests per day.","01 May, 2020 02:48am"
World,Canada bans assault-style weapons after mass shooting,"“There is no use — and no place — for such weapons in Canada,"" says Prime Minister Justin Trudeau.","01 May, 2020 09:54pm"
Pakistan,Karachi likely to experience heat wave from May 5,"The temperature may range from 40 to 42 degrees Celsius from May 5 to May 8, according to the Met dept.","01 May, 2020 09:13pm"
Pakistan,In pictures: Workers of the world mark a sombre Labour Day as Covid-19 curbs demos,May Day carries extra significance this year after the epidemic put unprecedented numbers of people out of work.,"01 May, 2020 09:28pm"
,Missing Baloch journalist Sajid Hussain found dead in Sweden,"“Autopsy has dispelled some of the suspicion that he was the victim of a crime,” police spokesperson says.","01 May, 2020 08:51pm"
Pakistan,"Karachi's Covid-19 infections near 5,000 as Sindh reports 622 cases","Covid-19 cases have risen almost 200pc in Karachi over the last 11 days,  from 1,691 on April 20 to 4,873 on May 1.","01 May, 2020 10:18pm"
Pakistan,Pakistan seems to be faring better than many others in the Covid-19 crisis. These could be some of the reasons,There may be lessons which could help Pakistan and the rest of the world.,"03 May, 2020 08:51am"
Pakistan,I'm teaching my students online and here's what I've learnt from their experiences,"If online classes are to allow students to learn, households need to develop SOPs.","01 May, 2020 06:48pm"
Pakistan,Bilawal accuses Centre of sabotaging Sindh’s every move on coronavirus from the get-go,"""Through their incompetency, they have let down each and every province,"" says the PPP chairperson.","01 May, 2020 06:19pm"
World,Endgame directors are working on a Hercules live-action remake,A live action reboot is in works by Disney with the Russo brothers at the helm and that's the gospel truth.,"02 May, 2020 02:15am"
World,China journalist jailed for 15 years as free speech clampdown intensifies,"Journalist convicted of ""picking quarrels and provoking trouble, extortion, illegal business operations and bribery"".","01 May, 2020 04:03pm"
Business,Inflation eases to 8.5pc as Covid-19 hammers economy,"""This is the third consecutive month that inflation has sharply declined,"" says federal minister Asad Umar.","01 May, 2020 03:57pm"
World,"The only grudge I have is that he has spoiled me for life, says Irrfan Khan’s wife","""How can I write a family statement when the whole world is taking it as a personal loss?"" Sutapa wrote.","01 May, 2020 03:28pm"
Pakistan,Journalist Nadir Hassan passes away at 37,Hassan passed away due to a brain haemorrhage.,"01 May, 2020 01:53pm"
Sport,"Pakistan loses top spot after 2 years, slides to number 4 in T20 rankings","India lose number one rank in Test matches, Australia top of the tables in Test and T20 internationals.","01 May, 2020 03:18pm"
World,Remdesivir: The Covid-19 drug helping patients recover faster,"Patients who were given the drug, first developed to treat Ebola, had a 31 per cent faster time to recovery.","03 May, 2020 09:09am"
World,Gigi Hadid confirms she's going to be a mommy,Mama Hadid also accidentally let it slip that the supermodel is due in September,"01 May, 2020 11:59am"
Pakistan,Infections amongst healthcare workers increase by 75pc in a week,The number of infected healthcare workers has risen to 444 as govt is set to launch a programme for their protection.,"06 May, 2020 09:38pm"
World,Trump threatens new tariffs on China in retaliation for coronavirus,"“There is a discussion as to how hard to hit China and how to calibrate it properly,” says source.","01 May, 2020 11:05am"
