Story Heading,Story Excerpt,Timestamp,Section
Pakistan,Shahbaz’s aide tests corona positive,"After Badar’s positive report, Shahbaz has also been asked to get tested for corona.","27 May, 2020 10:25am"
Newspaper,Ferozsons in talks to produce Remdesivir,Company says it is in negotiations to enter a non-exclusive agreement with Gilead Sciences Inc.,"12 May, 2020 08:19am"
Newspaper,Ogra powers to grow under new rules,All oil and gas related regulatory functions and powers to be shifted to Ogra.,"09 May, 2020 09:28am"
Newspaper,Trump says ex-aide Flynn to be ‘exonerated’ despite guilty plea,US president says fresh documents that surfaced in Flynn’s case show he was mistreated.,"01 May, 2020 09:46am"
Newspaper,1.6bn informal workers hit by lockdowns: ILO,"Most are working food services, manufacturing, wholesale and retail.","09 May, 2020 09:25am"
Pakistan,Metro bus employees protest nonpayment of salaries,Opperational manager says govt cleared salaries to company whose job it is to pay them.,"08 May, 2020 09:26am"
Pakistan,Ex-PM Abbasi to brief sugar probe body today,Says he will explain to the commission how the sugar crisis occurred.,"09 May, 2020 08:24am"
Pakistan,PPP wants action plan to avert famine threat,"“Farmers across Pakistan are suffering the worst plague of locusts in recent history""","29 May, 2020 08:55am"
Pakistan,"Nine more die of Covid-19, 514 infected","Of the nine deceased, four died in Lahore, two in Rawalpindi and one each in Gujranwala, Faisalabad and Sahiwal.","03 May, 2020 10:45am"
Newspaper,"World will be worse after ‘banal’ virus, says French writer","“I do not believe for a half-second the declarations that ‘nothing will be like it was before’,” says Houellebecq.","05 May, 2020 09:19am"
Pakistan,"I was forced to agree on disposal of habeas corpus plea, reveals A.Q. Khan","SC issues notices to the Strategic Planning Division, AGP.","15 May, 2020 09:07am"
Pakistan,Police kill man after he guns down five relatives,Officials say man also took hostage four other family members who were later released.,"30 May, 2020 11:05am"
Newspaper,179 stranded Pakistanis return home via Wagah,The India-Pakistan border has been sealed due to the lockdown following the coronavirus pandemic.,"28 May, 2020 08:16am"
Pakistan,Returning looted money of Modaraba scam victims NAB’s top priority: Iqbal,"Mufti Ehsanul Haq, his nine other accomplices convicted in the scam, meeting told.","13 May, 2020 08:59am"
World,Bryan Adam apologises for racist coronavirus tirade,"The singer was criticised after blaming ""bat eating, wet animal market, selling greedy bastards"" for spreading the virus","13 May, 2020 12:10pm"
Pakistan,Govt notifies reconstituted commission for minorities,The commission will have six official and 12 non-official members including the chairman for a term of three years.,"12 May, 2020 08:25am"
Pakistan,Testing for the virus,The old reflex to carve out islands of respite for the elites from all pressing public health problems is starting to kick in.,"28 May, 2020 07:42am"
Pakistan,NAB opposes Raja Pervez Ashraf’s acquittal plea,"Ashraf seeks acquittal under ordinance redefining ""misuse of authority"" in NAB law.","14 May, 2020 08:27am"
Newspaper,IPC minister to address sports community problems in joint session,"States debate needed on support provided by provincial govts to mitigate suffering of sports persons, evolve strategy.","03 May, 2020 10:40am"
