Story Heading,Story Excerpt,Timestamp,Section
World,US vote can shape how world warms as climate pact exit looms,"While Trump has cast doubts on climate scientists and exited Paris Agreement, Biden has promised to do the opposite.","01 Nov, 2020 10:39pm"
US Elections,xyz,"""2 days from now President Donald Trump and VP Mike Pence will secure 4 more years for the great people of Florida! ...","05 Nov, 2020 05:12pm"
US Elections,xyz,"There’s nothing spookier than the thought of repeating the last four years. So, as Barack Obama
 says: don’t boo...","05 Nov, 2020 05:21pm"
US Elections,xyz,“I’m worried that with our nation so divided and election results potentially taking days or weeks to be...,"05 Nov, 2020 05:16pm"
World,"US Republican party tries to save its Senate majority, with or without Trump",Control of the US Senate can make or break a presidency.,"01 Nov, 2020 08:29pm"
Pakistan,"Armed forces should not appear to be inclined towards any one political party, advises Maryam Nawaz","""The DG ISPR is a professional soldier and the spokesperson for the institution, he should be very careful,"" says PML-N leader.","01 Nov, 2020 07:08pm"
World,"Biden nears finish line with lead in polls, but Trump still close in swing states",Biden's lead over the Republican president has stayed steady in recent months as the public health crisis has persisted.,"01 Nov, 2020 05:04pm"
World,"Trump launches final, two-day frenzy of campaigning in bid for surprise win","On Sunday and Monday, Trump will stage 10 rallies — five a day — making it the campaign’s busiest stretch.","01 Nov, 2020 04:16pm"
Sport,"Iftikhar, Babar star in Pakistan's series-clinching win against Zimbabwe in Pindi",Iftikhar's 5-for and Babar's unbeaten 77 gives Pakistan an unassailable 2-0 lead in the ODI series.,"01 Nov, 2020 07:28pm"
World,Man rescued from rubble after 33 hours as Turkey quake death toll hits 62,Officials say 20 buildings were destroyed by the earthquake that struck Aegean sea.,"01 Nov, 2020 08:58pm"
World,'Stay at home': Johnson locks down England for a month as UK Covid-19 cases pass 1 million,"Lockdown to last until Dec 2 as the country grapples with more than 20,000 new coronavirus cases a day.","01 Nov, 2020 08:27pm"
World,"Quebec stabbings leave at least 2 dead, 5 injured","Police in Canadian city say they have arrested a male suspect wearing medieval clothes, no details about motive yet.","01 Nov, 2020 03:23pm"
World,"After year of disruption, America set to choose a path ahead","Whichever candidate wins the White House, will confront the challenge of governing through deep divisions.","01 Nov, 2020 03:17pm"
Pakistan,"Remembering Saleem Asmi, the man who breached a fortress","He was the seventh editor of Dawn and perhaps, the best-suited journalist at the time to lead the paper in the new millennium.","01 Nov, 2020 11:40am"
Pakistan,Number of active cases has doubled in last 1.5 months: NCOC,NCOC asks provinces to increase drug stocks at hospitals; spike in cases feared amid winter.,"01 Nov, 2020 08:44am"
Pakistan,Smokers' Corner: Conspiracy is the last refuge of failing regimes,We are now seeing ministers adopting the role.,"01 Nov, 2020 08:37am"
