Story Heading,Story Excerpt,Timestamp,Section
Newspaper,Shoaib Akhtar opposes Azhar’s removal as captain,Says Azhar should not be removed from the role after one bad game.,"10 Nov, 2020 10:42am"
Pakistan,"PM should hold talks with opposition to take country forward, says Kamal","Says there is a dire need for ""politicians and institutions"" to sit together.","11 Nov, 2020 10:21am"
Newspaper,Services exports rebound in September,The sector has emerged as the main driver of economic growth with its share in GDP increasing to 61.4pc in 2019-20.,"05 Nov, 2020 10:13am"
Newspaper,Low-cost housing: banks go all in,Banks have disbursed almost 60pc of their Rs203.6 billion housing loan portfolio among their own employees.,"02 Nov, 2020 02:36pm"
Pakistan,Amir Khan and family escape injury after car crashes into a barrier on UK motorway,"""The front, sides and back are all damaged. The car literally did a 360,"" says the boxer.","16 Nov, 2020 12:26pm"
Newspaper,Bottas upstages Hamilton to take pole,Mercedes need only a fourth place finish in Sunday’s race to secure a record seventh successive constructors’ world championship.,"01 Nov, 2020 11:07am"
Newspaper,Spotlight,New induction in Toy Hall of Fame,"14 Nov, 2020 07:14am"
Newspaper,NCC rules out complete lockdown,PM Imran says the govt has decided not to close down business and industries in wake of a second spike in cases.,"04 Nov, 2020 08:17am"
Pakistan,'Has the virus mutated? When is a vaccine expected in Pakistan?': Your questions about the second wave answered,"Dawn.com reached out to Dr Faisal Mahmood, head of the Infectious Diseases Department at Aga Khan University.","24 Nov, 2020 05:03pm"
Newspaper,ECC set to approve security-linked grants,"Decision on ‘voluntary separation’ of 3,500 PIA employees likely.","16 Nov, 2020 08:36am"
Pakistan,NA panel clears CPEC authority bill  with majority vote,"PML-N, PPP oppose the bill; committee told no salary given to chairman after expiry of ordinance in May.","18 Nov, 2020 08:37am"
Newspaper,Star gymnast draws positives from false positive virus test,"The winner of three Olympic gold medals is among 30 gymnasts from Japan, US, China and Russia, competing in Sunday’s meet.","08 Nov, 2020 11:46am"
Pakistan,New tourist site inaugurated in capital,The 100ft long and 68ft wide lotus lake is currently being tested on trial basis and will be filled with water in next few days.,"23 Nov, 2020 09:59am"
Pakistan,Schools in KP likely to call students once a week for home tasks,The education dept has proposed the move as access to internet is not available in most parts of the province.,"25 Nov, 2020 10:20am"
Pakistan,PML-N leaders condemn leadership’s ‘anti-state’ narrative,"Sitting, former lawmakers from Attock praise armed forces for their sacrifices in the fight against terrorists.","02 Nov, 2020 10:00am"
Newspaper,India’s top general says faceoff with China could spark bigger conflict,"“We will not accept any shifting of the Line of Actual Control,” says Chief of Defence Staff Bipin Rawat.","07 Nov, 2020 10:17am"
Pakistan,SHC irked by inordinate delay in finalising census result,Asks minister Ali Zaidi to ensure completion of cabinet-assigned task at the earliest.,"25 Nov, 2020 10:08am"
World,"Twitter, Facebook push back on Trump's election posts","Trump had claimed in his posts that the Democrats were trying to ""steal"" the election.","04 Nov, 2020 03:26pm"
Pakistan,Dubai ruler allowed to ‘export’ 150 falcons,Rare species are used to hunt houbara bustards.,"24 Nov, 2020 09:42am"
Newspaper,"Haider, Usman shine as Pakistan wrap up T20 series","After restricting the tourists to an inadequate total of 135-7, Pakistan made short work of the modest target.","09 Nov, 2020 09:56am"
World,"6 including soldier martyred in AJK, 10 killed on Indian side in major escalation along LoC",We stand committed to defend the motherland and our Kashmiri brethren even at the cost of our blood and lives: ISPR,"14 Nov, 2020 02:00am"
World,Dutch police hold suspect after shots fired at Saudi embassy,"Police have not disclosed the identity of the suspect, who was held for questioning.","12 Nov, 2020 09:25pm"
Newspaper,ECC okays Rs38bn supplementary grants for security,Voluntary Separation Scheme for PIA staff also approved.,"17 Nov, 2020 08:47am"
Pakistan,Four cops among six booked over ‘custodial death’,Police say a case under section 302 of the PPC has been registered against the 4 policemen and two others.,"10 Nov, 2020 10:22am"
Pakistan,FIA officer sacked for leaking sugar commission information,Official says the secretary gave a personal hearing to the accused officer before taking a final decision.,"11 Nov, 2020 09:17am"
Newspaper,"Nasir, Israr march into squash final",Both have won many titles at domestic and international level.,"17 Nov, 2020 10:33am"
Newspaper,Thai protesters march on royal guard barracks,The protest was meant to target the 11th Infantry Regiment.,"30 Nov, 2020 10:35am"
