Story Heading,Story Excerpt,Timestamp,Section
World,Donald Trump biggest driver of Covid-19 misinformation: study,"Researchers identified 522,472 news articles that reproduced or amplified misinformation related to the coronavirus pandemic.","02 Oct, 2020 02:12pm"
World,House them in oil rigs? Build a sea wall? UK's asylum 'brainstorm' under fire,Labour Party says plans show govt had “lost control and all sense of compassion”.,"01 Oct, 2020 08:55pm"
Pakistan,"India helping Nawaz in 'attempts to weaken army', says PM Imran","Imran Khan says Nawaz is playing a ""dangerous game"" akin to the act of Altaf Hussain.","02 Oct, 2020 12:17pm"
Pakistan,YouTuber unites woman left behind during Partition with family in India after 70 years,Daphia Bai reunited with her family with the help of Pakistani YouTuber Muhammad Alamgir.,"01 Oct, 2020 07:15pm"
Pakistan,Karachi ATC issues arrest warrants for key prosecution witness in Intizar murder case,Court told that the lone witness to the student's killing has not turned up to record her statement despite repeated notices.,"01 Oct, 2020 06:11pm"
World,David Attenborough leads call for world to invest $500 billion a year to protect nature,"The British broadcaster urged: “We still have an opportunity to reverse catastrophic biodiversity loss, but time is running out.”","01 Oct, 2020 04:38pm"
Pakistan,'Is this what state of Madina looks like?': Nawaz lashes out at PTI government,"Former PM says ""the people who brought [PTI] into power"" should answer the nation over its failures.","02 Oct, 2020 10:53am"
Pakistan,Accountability court orders seizure of Nawaz’s assets in Toshakhana case,"Assets include bank accounts, a house in Murree, agricultural land as well as luxury vehicles.","01 Oct, 2020 04:43pm"
Pakistan,Salam Award for Imaginative Fiction announces 2020 winner,"A large number of submissions came from students and a multitude of professions including filmmakers, teachers, and lawyers","01 Oct, 2020 03:57pm"
Prism,"India's Dalit women often face sexual violence because of, yes, their caste","In short, Dalit women are often raped because upper-caste men think they have the right to rape them.","01 Oct, 2020 03:49pm"
Pakistan,Imran’s General Assembly speech most viewed among world leaders on UN’s YouTube,"The premier’s speech has garnered more than 170,00 views since it was uploaded on September 25.","01 Oct, 2020 03:01pm"
World,Second Dalit woman dies in a week after being gang-raped in India,Police say two men have been arrested in connection with the case.,"01 Oct, 2020 01:52pm"
World,"Trump backpedals over racist group row, Biden blasts him as 'embarrassment'",Multiple Republicans distanced themselves from Trump's failure to clearly denounce white supremacist groups.,"21 Oct, 2020 02:17pm"
Pakistan,Punjab CM takes notice of woman's gang-rape in Nankana Sahib,FIR says six men raped the victim; medical report is awaited.,"01 Oct, 2020 01:19pm"
Pakistan,Dilip Kumar is requesting people in Peshawar to share pictures of his ancestral home,"""I have memories of the sitting room where the family gathered for tea in the evenings the terrace, the bedroom, everything.""","01 Oct, 2020 01:14pm"
World,Kremlin critic Navalny tells magazine Putin was behind crime against him,"""I don't have any other versions of what happened,"" Der Speigel quotes Navalny as saying.","01 Oct, 2020 12:10pm"
World,Next Trump-Biden debate will have new rules to aid 'orderly discussion',"The 90-minute debate on Tuesday was chaotic, marred by Trump's constant interjections and interruptions of both Biden and host.","01 Oct, 2020 11:52am"
World,Iman Vellani is the new Ms Marvel,Marvel's first muslim woman superhero has just been finalised and what better representation than to have a muslim play it?,"01 Oct, 2020 03:05pm"
Pakistan,"Red zone files: The opposition's logic is that in order to save 2023, you have to discredit 2018",The opposition’s grand PDM alliance is now under the heavy influence of two hawks: Nawaz Sharif and Maulana Fazlur Rehman.,"01 Oct, 2020 11:02am"
Pakistan,Doctor urges people to volunteer for Chinese Covid vaccine trial in Pakistan,"""Vaccine hesitancy, unfortunately, with a country like Pakistan is very much high,"" says Ejaz A. Khan.","01 Oct, 2020 09:12am"
Business,The current dynamism in the economy depends crucially on cheap money and govt handouts,"Even as the government talks of further stimulus, it is in fairly advanced stages of its talks for revival of the IMF programme.","01 Oct, 2020 08:30am"
Pakistan,Men in Pakistan need to stand with the women fighting for a safer country,The greatest stride for women’s rights in the last quarter century remains the Women’s Protection Bill of 2006.,"01 Oct, 2020 08:18am"
World,Editorial: India’s claim of being a democracy is becoming fatally compromised day by day,Our neighbour to the right has always exhibited a certain disdain for international human rights organisations.,"01 Oct, 2020 08:14am"
Pakistan,SC judge recuses himself from hearing Jang owner’s case,Justice Bandial has referred the matter back to the CJP with a request to fix the hearing for next week.,"01 Oct, 2020 09:44am"
Pakistan,"JUI-F leader acquitted of SOP violation, hate speech",Kifayatullah says hate speech charge was false as he just asked people to continue going to mosques following SOPs.,"01 Oct, 2020 11:03am"
Pakistan,CM orders timely completion of uplift projects,Mehmood Khan says keeping public needs in view a realistic development strategy had been devised.,"01 Oct, 2020 11:08am"
Pakistan,PHC stays new construction in Islamia College University,Seeks report about impact of work on building’s heritage significance.,"01 Oct, 2020 10:57am"
Newspaper,IT can lead to growth in export of services: PM,"The establishment of IT parks will also have a positive impact on exports, says the premier.","01 Oct, 2020 10:48am"
Pakistan,"IHC orders govt to expedite relocation of Kaavan, brown bears","There is no appropriate sanctuary for relocating the bears and the Punjab govt is not ready to accept responsibility, court says.","01 Oct, 2020 10:47am"
Pakistan,"‘Derogatory’ social media posts: Federal secys, FIA and PTA chiefs summoned",Petition questions FIA's efficiency in taking action against those making derogatory remarks about known personalities.,"01 Oct, 2020 10:39am"
