Story Heading,Story Excerpt,Timestamp,Section
,,,
Pakistan,CM orders survey to check fire safety steps in high-rises,A circular has also been issued to commissioners and deputy commissioners to conduct a comprehensive survey across Punjab.,"24 Oct, 2020 11:23am"
Newspaper,"Haider, Zeeshan steal limelight as Northern rout KP",They took full advantage of some wayward bowling and sloppy fielding to put on a national record second-wicket partnership.,"01 Oct, 2020 10:34am"
,,,
Pakistan,CPSP to establish more training institutes in Balochistan,Vice president assures postgraduates of Balochistan will be provided adequate specialisation opportunities.,"15 Oct, 2020 09:44am"
,,,
World,Iran fears regional war as fighting rages around Nagorno-Karabakh,"President Rouhani calls for peace, says Iran will not allow “states to send terrorists to our borders under various pretexts”.","07 Oct, 2020 03:37pm"
,,,
Newspaper,"Two goals for Lukaku, more misery for Maguire","For England defender Harry Maguire, things are going from bad to worse.","16 Oct, 2020 11:20am"
,,,
,,,
Newspaper,Balochistan’s defeat gives Central Punjab unexpected lifeline,Balochistan have no choice but to beat Southern Punjab in the last of the preliminary round fixtures.,"16 Oct, 2020 11:16am"
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,"Ties with Saudi Arabia long-lasting, friendly: Qureshi","Calls PDM an untimely, unnatural and non-ideological alliance.","19 Oct, 2020 10:10am"
,,,
,,,
Newspaper,Players can’t stay in bubbles too long: Giles,"England hosted West Indies, Ireland, Pakistan and Australia after cricket’s restart in July.","29 Oct, 2020 10:17am"
,,,
Newspaper,Erdogan repeats his remarks about French president,Relations between Macron and Erdogan have become increasingly strai­ned over geopolitical issues.,"26 Oct, 2020 08:45am"
Pakistan,Pakistan hopeful of acquiring Covid-19 vaccine within the next 6 months,"UHS official says it is ""fortunate"" Pakistan decided to cooperate with China on a vaccine.","12 Oct, 2020 08:20am"
Newspaper,Story Time: Tough times,"She could hear the soft, droning sound that seemed to fill the air all around her.","10 Oct, 2020 07:08am"
,,,
Pakistan,"Unemployment to fall sharply in coming days, says Hafeez","“The government is taking various steps to put the economy on the path of sustainable growth,"" he says.","16 Oct, 2020 09:35am"
