iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PAK,Pakistan,1/5/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/6/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/7/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/8/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/9/2020,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/10/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/11/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/12/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/13/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PAK,Pakistan,1/14/2020,,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
