Story Heading,Story Excerpt,Timestamp,Section
Pakistan,'Is this how Pakistan will be run?' SC chides federal government over KE's failings,"Top court rules KE has to clear its facilities of rainwater itself, says it ""cannot wait for any assistance from govt"" for this.","02 Sep, 2020 11:18am"
Sport,"England should 'definitely' tour Pakistan, says new ECB chairman",England are scheduled to return to Pakistan in 2022.,"01 Sep, 2020 09:15pm"
Pakistan,"Netizens rage against authorities as several areas of Karachi remain powerless, submerged days after rain","Videos and photos of Surjani Town, Kharadar show roads inundated with rainwater mixed with trash.","01 Sep, 2020 09:26pm"
Pakistan,PTA bans five dating apps including Tinder citing 'immoral content',"Authority says it can ""reconsider"" the decision if the app companies assure adherence to local laws.","02 Sep, 2020 06:31am"
,"Skin-deep modernity and deep-rooted atavism go hand in hand in many societies, India is no exception",https://www.dawn.com/news/1577335/changing-an-unchanging-world,"01 Sep, 2020 06:13pm"
Pakistan,"2 children killed in Shangla as heavy rains damage houses, block major roads in KP","Flooding reported in storm-water drains of Swat, Chitral and Kohistan; PDMA says relief efforts ongoing.","01 Sep, 2020 07:50pm"
Pakistan,"Two suspects arrested for allegedly assaulting, shooting 15-year-old boy","The victim was shot for putting up resistance to the suspects' attempt to rape him, says father.","01 Sep, 2020 05:00pm"
Pakistan,'Accountability will not affect CPEC': Maryam Nawaz asks Asim Bajwa to face allegations,"Says evidence against Bajwa is ""huge"" and he should clarify his position in front of the nation.","01 Sep, 2020 09:13pm"
Pakistan,Karachi is still reeling from the devastating monsoon. Here's how you can help,Support these brilliant organisations trying to curb the damage done to Pakistan's most diverse cultural hub; every rupee counts.,"01 Sep, 2020 03:58pm"
World,Iran's Khamenei says Israel deal 'betrayal' of Islamic world by UAE,"“Of course, the UAE’s betrayal will not last long, but this stigma will always be remembered,” he says.","01 Sep, 2020 02:39pm"
World,Saudi king sacks two royals under defence corruption probe,"Commander of joint forces in the Saudi-led coalition fighting in Yemen, son relieved of posts; decision taken on MBS's missive.","01 Sep, 2020 01:07pm"
Pakistan,The future of Pakistan's cinemas is hanging on to hope but that's not enough,"Everyone collectively killed cinema with substandard product, venal financial practices and internal rifts","01 Sep, 2020 01:00pm"
World,Qatar dismantles 'kaffala' sponsorship system in major changes to labour law,New rules end requirement for migrants to obtain employers’ nod to change job.,"01 Sep, 2020 12:48pm"
Pakistan,Sakina Samo's Intezaar all set to premiere in New York,"The film, starring Samina Ahmed, Khalid Ahmed and Adnan Jaffar to name a few, revolves around a family's wait.","01 Sep, 2020 12:30pm"
Pakistan,"IHC tells Nawaz to 'surrender', appear before court on Sept 10","""We are not declaring him an absconder, we are giving him once more chance to surrender,"" says Justice Amir Farooq.","02 Sep, 2020 08:10am"
Pakistan,"Poor planning, poor governance, poor monitoring flood Karachi",It is the same mess in all cities of South Asia.,"01 Sep, 2020 02:16pm"
Pakistan,"Editorial: Centre, Sindh need to put politics aside, combine forces to bring Karachi into the 21st century","Extreme weather events happen all over the globe, yet damage is mitigated by planning ahead.","01 Sep, 2020 10:20am"
World,Singer Akon is moving ahead with his $6 billion 'Akon City' in Africa,"Akon, who first announced his idea for the utopian city in Senegal back in 2018, has described it as a “real-life Wakanda""","01 Sep, 2020 09:50am"
World,Why are British Indians wielding more power than British Pakistanis?,It does seem clear that socioeconomic outcomes are shaped not just by ethnicity but also other factors.,"01 Sep, 2020 09:49am"
World,The world is facing two pandemics simultaneously: Covid-19 and hunger,How can we end hunger and poverty amid the impacts of Covid-19?,"01 Sep, 2020 08:27am"
Newspaper,India’s top court fines rights lawyer token one rupee,The 63-year-old did not apologise for two tweets in June that were deemed critical of the judiciary.,"01 Sep, 2020 11:05am"
Newspaper,Continued protests may help Trump’s re-election,Clashes enable US president to portray campaign for black rights as an uprising by the radical left.,"01 Sep, 2020 10:23am"
Newspaper,Lebanon designates new PM as Macron visits,"Mustapha Adib acknowledges “need to form a govt in record time, begin implementing reforms immediately”.","01 Sep, 2020 10:08am"
Newspaper,"Computer pioneer Arnold Spielberg, Steven’s dad, dies at 103","He died of natural causes while surrounded by his family in Los Angeles, a statement by his children said.","01 Sep, 2020 10:26am"
Newspaper,90pc countries faced disruption to health services amid Covid-19,WHO says low- and middle-income nations reported greatest difficulties.,"01 Sep, 2020 09:24am"
Pakistan,"Lawyers, rights groups slam threats hurled at journalist",Shibli says Asim Bajwa will soon speak about assets.,"01 Sep, 2020 09:33am"
Pakistan,Election Commission issues delimitation plan for Sindh LG polls,PPP wants agreement that paved way for passage of 24th Amendment implemented first.,"01 Sep, 2020 09:21am"
Pakistan,Entire population of Karak to get natural gas,Sui Northern Gas Pipelines directed to devise a feasible work plan along with proper timelines.,"01 Sep, 2020 11:19am"
Pakistan,Plasma saves 92pc Covid-19 patients from ventilator: report,Therapy shows good results in first five days of admission.,"01 Sep, 2020 11:07am"
Pakistan,Three injured as bomb targets police mobile in Dir,It was the second attack against police during August.,"01 Sep, 2020 11:16am"
Pakistan,JUI-F member expelled from PA  over threatening remarks,Opposition except ANP protests ‘one-sided’ ruling of speaker against Hafiz Isamuddin.,"01 Sep, 2020 11:13am"
Newspaper,"BOI ignoring issues of business community, alleges FPCCI",Says meeting with secretary was very disappointing as they were not encouraged to express their point of view.,"01 Sep, 2020 10:43am"
Pakistan,CDA to announce overdue BUP awards for seven sectors,"Awards will be announced for D-13, E-13, 1-17, H-6, C-16, F-13 and C-13.","01 Sep, 2020 10:37am"
Pakistan,"Capital admin bans swimming, fishing and boating for two months","With dams at capacity, spillways are being opened regularly to discharge excess water which can endanger lives, officials say.","01 Sep, 2020 10:34am"
Pakistan,Shahbaz to visit Karachi tomorrow in solidarity with rain affectees,"""During the visit, he will visit Edhi Foundation and meet those affected by the devastating rains,"" says PML-N's Ahsan Iqbal","01 Sep, 2020 11:01am"
Pakistan,No virus case reported in 29 Punjab districts,"The health dept conducted 5,924 Covid-19 tests all over Punjab during the last 24 hours.","01 Sep, 2020 10:51am"
Pakistan,15 full-fledged depts created for south Punjab secretariat,The Punjab govt has offered double salaries to officials being posted at the secretariat to compensate for their relocation.,"01 Sep, 2020 10:47am"
Pakistan,CM asks LBs to work jointly to drain out stagnant water across Karachi,"""This is our city and we all have to work together,"" says Murad Ali Shah.","01 Sep, 2020 11:14am"
Pakistan,Local bodies across province dissolved after completion of term,Sindh govt yet to appoint administrators to run the LG set-up until new polls.,"01 Sep, 2020 10:56am"
Pakistan,Journalist among five acquitted in explosives case,"""Prosecution failed to prove the charges against the accused persons beyond a shadow of reasonable doubt,"" announces judge.","01 Sep, 2020 11:00am"
Newspaper,"Paire tests positive for Covid-19,  pulls out of US Open",Several high-ranking players have skipped the tournament due to coronavirus concerns.,"01 Sep, 2020 11:16am"
Newspaper,‘No need for Liverpool panic after Community Shield loss to Arsenal’,"“During the whole game we played well, dominated, pressed them well and created many chances,"" says Virgil van Dijk.","01 Sep, 2020 11:12am"
Newspaper,Majestic Hamilton sweeps to Belgian win,"Hamilton’s win was the 89th of his career, putting him ever closer to matching Michael Schumacher’s seven title triumphs.","01 Sep, 2020 11:08am"
Newspaper,Stocks drift higher on foreign buying,The index opened on a positive note and quickly climbed to intraday high by 255 points.,"01 Sep, 2020 10:48am"
Newspaper,Indian economy shrinks 24pc,The contraction is the biggest since New Delhi started publishing quarterly statistics in 1996.,"01 Sep, 2020 10:41am"
Newspaper,Sugar import process begins,Advance payment up to 100 per cent of the value of letters of credit and contract will be allowed.,"01 Sep, 2020 10:45am"
Newspaper,"Govt mulls private managers, forensic audit of SOEs",Meeting also discusses a draft SOEs law.,"01 Sep, 2020 10:38am"
Newspaper,Rupee recovers Rs1.2 against dollar,Bankers say the dollar has been on a downward trajectory due to increase in supply by the exporters.,"01 Sep, 2020 10:33am"
Pakistan,"Three days after rains, Karachi business struggles to recover",Traders and industrialists to release loss estimates in next few days.,"01 Sep, 2020 10:26am"
Newspaper,Revenue collection falls 2pc in August,Monthly target missed by Rs14bn.,"01 Sep, 2020 10:31am"
Pakistan,Websites run by Balochistan govt employees banned,"In case of non-compliance, strict disciplinary action will be taken by the province’s chief executive.","01 Sep, 2020 09:27am"
Pakistan,Three soldiers martyred in S. Waziristan attack,Officials say the troops were patrolling a hilly area in the Kazkai region of Ladha tehsil when terrorists opened fire at them.,"01 Sep, 2020 09:17am"
Newspaper,Twitter complied with 35pc legal requests from Pakistan in 2019,Worldwide 21pc more information requests submitted compared to previous reporting period.,"01 Sep, 2020 09:12am"
Pakistan,Banned outfit’s leader killed in Mastung,"Suspect said to be involved in the murder of Nawabzada Siraj Raisani, a BAP leader and other terrorist activities.","01 Sep, 2020 08:54am"
Newspaper,US-Israeli delegation lands in Abu Dhabi on historic flight,"In another rare development, Saudi Arabia allows its airspace for Israeli flight.","01 Sep, 2020 01:07pm"
Pakistan,Plea seeking referendum on presidential form of govt reaches SC,Petitioner requests top court to telecast proceedings of case live on national TV channels for benefit of public at large.,"01 Sep, 2020 08:40am"
Pakistan,Nawaz slams Punjab govt over ‘health issue politics’,IHC takes up appeals against ex-PM’s conviction today; court will also hear NAB plea.,"01 Sep, 2020 09:04am"
Pakistan,PIA not to file appeal against flights suspension,Decision taken ahead of IATA Operational Safety Audit team's visit on Sept 7.,"01 Sep, 2020 08:35am"
Pakistan,Imran asks for Karachi ‘transformation plan’ in a week,"Wants all stakeholders taken on board, says govt cognisant of Karachi’s sufferings.","01 Sep, 2020 08:19am"
