Story Heading,Story Excerpt,Timestamp,Section
World,"US happy to help in China-India border dispute, Trump says",US president says the two countries are “going at it much more strongly than a lot of people even understand”.,"05 Sep, 2020 12:30pm"
Pakistan,Civil society rejects plan to create new city on twin islands along Karachi coast,"""This is not development, it is destruction.""","16 Sep, 2020 10:31am"
Pakistan,"CPEC to bring peace, prosperity to Balochistan: minister",PM may visit Gwadar next month and announce Rs150bn package.,"15 Sep, 2020 09:28am"
Newspaper,Hamilton claims Italian GP pole with record lap,Session proves ano­ther humbling experience for Ferrari with Sebas­tian Vettel going out in Q1.,"06 Sep, 2020 12:24pm"
Pakistan,"Shahbaz calls out Imran over FATF, Karachi situation","“It is terrible to see Karachi being ignored by the federal government,"" he says.","04 Sep, 2020 10:11am"
Newspaper,Stocks post modest gains amid positive macros,Index receives support from the release of current account data by SBP which showed surplus.,"24 Sep, 2020 10:39am"
Newspaper,"Economy on right path, says Hafeez","The government has repaid Rs5 trillion debt during the last two years, adviser informs meeting.","13 Sep, 2020 09:54am"
Pakistan,"4 killed, 8 injured after building catches fire in Karachi's Hijrat Colony","""Apparently, this looks like a short circuit,"" says Deputy Commissioner South Irshad Ali Sodhar.","12 Sep, 2020 01:21pm"
Newspaper,Australia regain top T20 spot from England after facile win,Australia had slipped to second in the ICC’s T20 rankings after falling 2-0 down in the series.,"10 Sep, 2020 11:49am"
Newspaper,Stars lament as cold and rain spark French Open revolt,The French Open began in steady drizzle and temperatures struggling to reach 10 degrees.,"28 Sep, 2020 11:03am"
Pakistan,"In order to address the reasons for Karachi's flooding, its complexities must first be understood","It is hoped that, apart from basic rehabilitation, the PM's plan will propose an effective local body reform","06 Sep, 2020 11:33am"
Newspaper,Stocks lose 185 points on late profit-booking,Cement triggers early morning rally on news of price rise per bag in the North.,"16 Sep, 2020 10:27am"
Sport,Michael Holding criticises England and Australia for not taking a knee,"“If you think you don't need to sympathise with and recognise the movement, just say that. Don't come up with lame excuses.”","11 Sep, 2020 05:20pm"
Pakistan,Three CAA officials sacked over licence scandal,Authorities complete verification of licences of 262 pilots from their personal manual data.,"10 Sep, 2020 08:51am"
World,"Jaswant Singh, counterfactually","Had history not played truant that day in Agra, there would be a hoard of money available for healthcare and education for both.","29 Sep, 2020 09:49am"
Pakistan,"Without a shift in underlying political realities, Karachi's fate is unlikely to change",Separate and distinct mandates do not change the underlying ecological reality of a given space.,"07 Sep, 2020 09:51am"
Pakistan,Judge asked to re-examine Cynthia’s plea for registration of FIR against Malik,Justice Minallah sets a three-week deadline for a decision on the matter.,"02 Sep, 2020 09:31am"
Newspaper,"Situation along Line of Actual Control tense, says Delhi","Official says Indian, Chinese troops squaring off in close proximity in at least four locations south of the Pangong Tso lake.","10 Sep, 2020 10:34am"
World,Demi Lovato calls off engagement after 2 months,Lovato and singer-actor Max Ehrich began dating this year.,"25 Sep, 2020 02:27pm"
Pakistan,Karachi’s fault lines,It is a city that has been drenched in blood many times.,"02 Sep, 2020 08:23am"
Pakistan,NAB gets 14-day remand of LDA chief engineer,IO says suspect caused a loss to public money by making payments to some private contractors he allegedly wanted to oblige.,"06 Sep, 2020 01:04pm"
Newspaper,Messi plays 45 minutes in Barca friendly win as La Liga kicks off,Both club and player appear keen to put on a united front.,"14 Sep, 2020 10:59am"
Newspaper,Chinese death-row inmate digs tunnel to escape Indonesian jail,"“This is the second time he escaped,” says Tangerang police’s chief Sugeng Hariyanto.","23 Sep, 2020 10:10am"
,The Frowns that Ruin Businesses,How the customer experience has gone from a competitive differentiator to a business imperative.,"14 Sep, 2020 11:57am"
Newspaper,Toyota claim third straight Le Mans race,The 88th edition of the iconic endurance race was rescheduled from June and held without fans due to the Covid-19 pandemic.,"21 Sep, 2020 11:04am"
Pakistan,SC orders medical examination of two prisoners on death row,Bench also seeks opinion on interpretation of laws dealing with soundness of mind of an accused.,"22 Sep, 2020 10:09am"
Pakistan,ATC in Karachi seeks copy of SC order for disposing of Perween killing case within month,The trial in the high-profile case remained stalled for around one-and-half-year following a restraining order passed by the SHC.,"30 Sep, 2020 10:46am"
Pakistan,One hurt as portion of garment factory collapses in SITE,Commissioner orders SITE chief to conduct survey of all ‘dangerous’ buildings.,"22 Sep, 2020 11:01am"
Pakistan,MQM-P flays Sindh govt for appointing 'non-local officers' as city administrators,"""Why are people of a certain ethnicity being preferred as administrators in the province's cities?""","09 Sep, 2020 05:15am"
Pakistan,Quaid-e-Azam Zindabad gets set to be the first Pakistani release in Covid times. But who will save cinemas in 2022?,"""The Indian government has banned the airing of their content in our country. Bollywood is not an option anymore.”","17 Sep, 2020 01:02pm"
Pakistan,Sit-in announced in capital against killing of 11 Pakistanis in India,"The protest will continue until Indian authorities lodge an FIR against the culprits, says PTI lawmaker Dr Ramesh Kumar Vankwani.","23 Sep, 2020 11:14am"
Pakistan,"Motorway gang-rape: CM's prerogative to remove Lahore CCPO, says Raja Basharat",Punjab law minister says govt is aware of growing demand for Umar Sheikh's removal following his remarks on a woman's gang-rape.,"12 Sep, 2020 02:17pm"
Pakistan,Parties demand action over gang rape in Lahore,"The Lahore CCPO has insulted humanity by holding the victim responsible for the rape, says PPP leader.","11 Sep, 2020 10:29am"
World,TikTok launches US elections guide to combat misinformation,TikTok faces the challenge of protecting against misinformation and platform abuses ahead of its first US presidential election.,"29 Sep, 2020 08:25pm"
